item,style,condition,question,respond,video,bitalino,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Trialsloop.thisRepN,Trialsloop.thisTrialN,Trialsloop.thisN,Trialsloop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,IDRESPONSE.text,sensor2.started,sensor2.stopped,sensor3.started,sensor3.stopped,sensor.started,sensor.stopped,sensor4.started,sensor4.stopped,textsubjresp.started,textsubjresp.stopped,SubjectiveResponse.response,SubjectiveResponse.rt,SubjectiveResponse.started,SubjectiveResponse.stopped,textsubjcon.started,textsubjcon.stopped,sensor5.started,sensor5.stopped,sensor1.started,sensor1.stopped,sensor6.started,sensor6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,directx,TRUTH ,What is your favourite song?,"My favourite song is "Perfect" by Ed Sheeran",,,0,0,0,0,,,,,,,,,,,,,ID 020 ,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
2,indirectx,LIE,What is your favourite tv-show/tv-drama?,"My favourite drama is F.R.I.E.N.D.S",,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
3,directx,TRUTH ,Is George Washington your role model in life?,""No, my role model is Lee Kuan Yew"",,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
4,indirectx,LIE,Is MacDonalds your favourite restaurant?,""Yes, MacDonalds is my favourite restaurant"",,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
5,directx,TRUTH ,Who is your favourite celebrity?,"My favourite celebrity is Chris Hemsworth",,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
1,directx,TRUTH ,What is your favourite song?,"My favourite song is "Perfect" by Ed Sheeran",,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
2,indirectx,LIE,What is your favourite tv-show/tv-drama?,"My favourite drama is F.R.I.E.N.D.S",,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
3,directx,TRUTH ,Is George Washington your role model in life?,""No, my role model is Lee Kuan Yew"",,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
4,indirectx,LIE,Is MacDonalds your favourite restaurant?,""Yes, MacDonalds is my favourite restaurant"",,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
5,directx,TRUTH ,Who is your favourite celebrity?,"My favourite celebrity is Chris Hemsworth",,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
27,Direct,LIE,How frequently do you drink alcohol?,,video/V28.mp4,,,,,,,,,,0,0,0,0,,,,,,421.41281469073147,421.92932668793947,431.69512971304357,432.1949494224973,436.311140361242,436.84456375427544,443.2272609160282,443.7270347503945,444.86047745589167,None,0.45092592592592595,6.899584817700088,444.86047745589167,None,444.86047745589167,None,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
1,Indirect,TRUTH,Are you from Clementi Primary School?,,video/V33.mp4,,,,,,,,,,0,1,1,1,,,,,,454.64276264375076,455.1590256989002,471.4410324306227,471.9409695533104,474.99034674838185,475.5241339309141,482.7733514951542,483.27323921443895,484.45637061353773,None,0.8962962962962964,8.815640250220895,484.45637061353773,None,484.45637061353773,None,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
20,Direct,LIE,Which floor of the building is your house on?,,video/V15.mp4,,,,,,,,,,0,2,2,2,,,,,,495.13848603283986,495.6552164964378,506.32095305109397,506.82085841475055,509.3038591193035,509.83718338469043,513.3368869633414,513.8366540614516,515.2699830746278,None,0.5361111111111111,3.6831743866205215,515.2699830746278,None,515.2699830746278,None,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
23,Direct,LIE,What course are you studying?,,video/V27.mp4,,,,,,,,,,0,3,3,3,,,,,,520.585953429807,521.1193364020437,536.2345107193105,536.7343881730922,539.3005747487769,539.8342733900063,543.5337775587104,544.0336518040858,545.550306878984,None,0.2935185185185185,8.965958100743592,545.550306878984,None,545.550306878984,None,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
22,Direct,TRUTH,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",,video/V20.mp4,,,,,,,,,,0,4,4,4,,,,,,557.0827463725582,557.6157167935744,569.8811412723735,570.3812015829608,573.4974448126741,574.0308293886483,578.0131435766816,578.5137428347953,580.4466432565823,None,0.7064814814814815,5.483269857242703,580.4466432565823,None,580.4466432565823,None,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
29,Direct,TRUTH,What brand of handphone do you use?,,video/V19.mp4,,,,,,,,,,0,5,5,5,,,,,,593.8952151746489,594.3952360269614,605.2274505100213,605.7273186603561,608.4939920208417,609.0274709127843,612.3936573602259,612.893667305354,614.1600156938657,None,0.7583333333333333,2.9001898504793644,614.1600156938657,None,614.1600156938657,None,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
9,Indirect,TRUTH,Is your favourite drink Teh Peng?,,video/V14.mp4,,,,,,,,,,0,6,6,6,,,,,,619.8428606167436,620.3592227995396,631.0918853785843,631.5917686070316,634.30796795059,634.8414580705576,638.7409540265799,639.2409832193516,640.9738957034424,None,0.8148148148148149,3.1829828680492938,640.9738957034424,None,640.9738957034424,None,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
28,Indirect,LIE,Is your religion Christianity?,,video/V7.mp4,,,,,,,,,,0,7,7,7,,,,,,646.0568066476844,646.5899435644969,668.7047277865931,669.2047027642839,672.2539712074213,672.7872630716302,675.2205404359847,675.7371935858391,677.4035595543683,None,0.4888888888888889,6.616189976222813,677.4035595543683,None,677.4035595543683,None,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
12,Direct,TRUTH,What was your favourite subject back in secondary school?,,video/V3.mp4,,,,,,,,,,0,8,8,8,,,,,,685.4861695859581,686.0195025131106,708.7505889926106,709.25018221559,712.1001963950694,712.633658605162,716.5664358390495,717.066266134847,718.8831636076793,None,0.787037037037037,4.633371808566153,718.8831636076793,None,718.8831636076793,None,,,,,,,020,001,2021_Feb_22_1418,deception_task,2020.2.10,59.99865277901432,
