task,time,text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,idresponse.text,heartbeatresponse.text,confidenceslider.response,confidenceslider.rt,text_2.started,text_2.stopped,key_guess.keys,key_guess.rt,key_guess.started,key_guess.stopped,text_3.started,text_3.stopped,key_noguess.keys,key_noguess.rt,key_noguess.started,key_noguess.stopped,text_4.started,text_4.stopped,key_noguess_perturbed.keys,key_noguess_perturbed.rt,key_noguess_perturbed.started,key_noguess_perturbed.stopped,text_perturbed.started,text_perturbed.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Count20,20,+,0,0,0,0,ID 015 ,Enter Number 19,0.9231481481481482,6.599361347500235,,,,,,,,,,,,,,,,,,,,,015,001,2021_Feb_17_1125,Heartbeat,2020.2.10,59.93416680518147,
Count30,30,+,0,1,1,2,,Enter Number24 ,0.8777777777777778,4.400004106108099,,,,,,,,,,,,,,,,,,,,,015,001,2021_Feb_17_1125,Heartbeat,2020.2.10,59.93416680518147,
Count40,40,+,0,2,2,4,,Enter Number  30,0.8685185185185185,2.2142957048490644,,,,,,,,,,,,,,,,,,,,,015,001,2021_Feb_17_1125,Heartbeat,2020.2.10,59.93416680518147,
Count25,25,+,0,3,3,1,,Enter Number   16,0.8009259259259259,1.6641091266646981,,,,,,,,,,,,,,,,,,,,,015,001,2021_Feb_17_1125,Heartbeat,2020.2.10,59.93416680518147,
Count35,35,+,0,4,4,3,,Enter Number   21,0.5953703703703703,2.2969833710230887,,,,,,,,,,,,,,,,,,,,,015,001,2021_Feb_17_1125,Heartbeat,2020.2.10,59.93416680518147,
,,,,,,,,,,,295.86777185089886,None,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.6648726351559162, 3.384643146302551, 5.216814641840756, 7.680964381899685, 9.416953035630286, 11.208750322461128, 13.025075163692236, 14.99297700356692, 16.928760793060064, 18.880836189258844, 20.73691416764632, 22.816802836488932, 24.840998040512204, 26.584790201857686, 28.257036469876766, 29.60888756159693, 31.120743439067155, 32.46510027628392, 34.06469645071775, 35.60897834831849, 37.240849445108324, 38.77700895816088, 40.50498750805855, 42.00092808017507, 43.88072230480611, 45.568732139188796, 47.304948241915554, 49.69697689078748, 51.64091322058812, 53.55297434749082, 55.27289146510884, 57.17709134006873, 58.80091832764447]",349.86216872371733,None,,,,,,,,,,,,,,,015,001,2021_Feb_17_1125,Heartbeat,2020.2.10,59.93416680518147,
,,,,,,,,,,,410.8395310132764,None,,,,,349.86216872371733,None,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.304722717963159, 2.824881912674755, 4.3367076348513365, 6.040587542112917, 7.584623705595732, 9.168694348540157, 10.640835265628994, 12.19287832500413, 13.944998825900257, 19.384663036093116, 26.384551397059113, 28.280768756754696, 30.048459701240063, 31.83277877373621, 33.64071753108874, 35.28085120301694, 37.02479061251506, 38.56908405898139, 40.36873072758317, 42.152677348814905, 44.20871150540188, 46.01679045334458, 47.76908226264641, 49.73685674369335, 51.824853361118585, 53.84876337228343, 55.99275949969888, 57.86480282852426, 59.75280220480636]",435.6702803936787,None,,,,,,,,,015,001,2021_Feb_17_1125,Heartbeat,2020.2.10,59.93416680518147,
,,,,,,,,,,,496.6476853499189,None,,,,,,,,,,,435.6702803936787,None,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[2.4395891427993774, 3.9515585843473673, 5.255401021800935, 6.647926272358745, 7.983938729390502, 9.471584967337549, 10.95971401175484, 12.575777271296829, 14.31159397540614, 15.831676819361746, 17.639724649488926, 19.343659734353423, 21.135782634839416, 22.73578526545316, 24.191980079747736, 25.695839968975633, 27.25574877113104, 28.903730862773955, 30.728257006034255, 32.383831517770886, 34.04006495606154, 35.8795346962288, 37.84794372366741, 52.12769233062863, 54.07959256879985, 56.327719727065414, 58.06371415546164]",546.959331936203,None,,,015,001,2021_Feb_17_1125,Heartbeat,2020.2.10,59.93416680518147,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.959331936203,None,,,,,,,
