"","ID","DT_condition","DT_style","DT_SubjAvg","DT_RTAvg","DT_TotalAvg","TotalRT"
"1","001","LIE","Direct",0.425231481481481,2.87650501028402,0.399351851851852,2.94794013867504
"2","001","LIE","Indirect",0.373472222222222,3.01937526706606,0.399351851851852,2.94794013867504
"3","001","TRUTH","Direct",0.500740740740741,3.08016293851542,0.516898148148148,3.11765989089618
"4","001","TRUTH","Indirect",0.533055555555556,3.15515684327693,0.516898148148148,3.11765989089618
"5","002","LIE","Direct",0.131296296296296,3.86626844449202,0.104768518518519,3.3765863656532
"6","002","LIE","Indirect",0.0782407407407407,2.88690428681439,0.104768518518519,3.3765863656532
"7","002","TRUTH","Direct",0.933657407407407,2.69961702665314,0.943449074074074,2.96932547059259
"8","002","TRUTH","Indirect",0.953240740740741,3.23903391453205,0.943449074074074,2.96932547059259
"9","003","LIE","Direct",0,0,0,0
"10","003","LIE","Indirect",0,0,0,0
"11","003","TRUTH","Direct",0,0,0,0
"12","003","TRUTH","Indirect",0,0,0,0
"13","004","LIE","Direct",0.683148148148148,2.99822795419022,0.650208333333333,3.07393400720321
"14","004","LIE","Indirect",0.617268518518518,3.14964006021619,0.650208333333333,3.07393400720321
"15","004","TRUTH","Direct",0.775740740740741,2.4812745974632,0.77375,2.59399182851776
"16","004","TRUTH","Indirect",0.771759259259259,2.70670905957231,0.77375,2.59399182851776
"17","005","LIE","Direct",0.571157407407407,2.36032034321688,0.527430555555556,2.41596507011563
"18","005","LIE","Indirect",0.483703703703704,2.47160979701439,0.527430555555556,2.41596507011563
"19","005","TRUTH","Direct",0.737314814814815,2.49679722555447,0.724907407407407,2.33235392762581
"20","005","TRUTH","Indirect",0.7125,2.16791062969714,0.724907407407407,2.33235392762581
"21","006","LIE","Direct",0.144537037037037,2.37884715322871,0.114212962962963,2.49749824197497
"22","006","LIE","Indirect",0.0838888888888889,2.61614933072124,0.114212962962963,2.49749824197497
"23","006","TRUTH","Direct",0.931666666666667,2.43025520117953,0.899675925925926,2.55041486113332
"24","006","TRUTH","Indirect",0.867685185185185,2.67057452108711,0.899675925925926,2.55041486113332
"25","007","LIE","Direct",0.644768518518518,1.85855094392318,0.624930555555556,1.84364681399893
"26","007","LIE","Indirect",0.605092592592593,1.82874268407468,0.624930555555556,1.84364681399893
"27","007","TRUTH","Direct",0.637222222222222,1.92612819627393,0.690509259259259,2.20639177042758
"28","007","TRUTH","Indirect",0.743796296296296,2.48665534458123,0.690509259259259,2.20639177042758
"29","008","LIE","Direct",0.433981481481481,3.20166802580934,0.444675925925926,3.383438486862
"30","008","LIE","Indirect",0.45537037037037,3.56520894791465,0.444675925925926,3.383438486862
"31","008","TRUTH","Direct",0.706574074074074,3.15401510910597,0.712291666666667,3.29661726367194
"32","008","TRUTH","Indirect",0.718009259259259,3.43921941823792,0.712291666666667,3.29661726367194
"33","009","LIE","Direct",0.000648148148148145,1.17513908362016,0.000578703703703702,1.28086041004863
"34","009","LIE","Indirect",0.000509259259259259,1.38658173647709,0.000578703703703702,1.28086041004863
"35","009","TRUTH","Direct",0.999490740740741,1.10621852129698,0.974328703703704,1.27346012654016
"36","009","TRUTH","Indirect",0.949166666666667,1.44070173178334,0.974328703703704,1.27346012654016
"37","010","LIE","Direct",0.606990740740741,2.13988221110776,0.576041666666667,1.88976797355572
"38","010","LIE","Indirect",0.545092592592593,1.63965373600367,0.576041666666667,1.88976797355572
"39","010","TRUTH","Direct",0.843055555555556,1.57255394931417,0.839421296296296,1.59825685044052
"40","010","TRUTH","Indirect",0.835787037037037,1.62395975156687,0.839421296296296,1.59825685044052
"41","011","LIE","Direct",0.39375,3.07879696383607,0.384537037037037,3.07633435170865
"42","011","LIE","Indirect",0.375324074074074,3.07387173958123,0.384537037037037,3.07633435170865
"43","011","TRUTH","Direct",0.724953703703704,2.78716307771392,0.723518518518518,2.80134629345266
"44","011","TRUTH","Indirect",0.722083333333333,2.8155295091914,0.723518518518518,2.80134629345266
"45","012","LIE","Direct",0.53162037037037,2.3900800336618,0.536967592592593,2.73814039286226
"46","012","LIE","Indirect",0.542314814814815,3.08620075206272,0.536967592592593,2.73814039286226
"47","012","TRUTH","Direct",0.625416666666667,2.81373948261607,0.624328703703704,2.67633966100402
"48","012","TRUTH","Indirect",0.623240740740741,2.53893983939197,0.624328703703704,2.67633966100402
"49","013","LIE","Direct",0.287592592592593,2.23422260703519,0.275856481481481,2.22529366208473
"50","013","LIE","Indirect",0.26412037037037,2.21636471713427,0.275856481481481,2.22529366208473
"51","013","TRUTH","Direct",0.851111111111111,2.49115922744386,0.846643518518519,3.02583300234983
"52","013","TRUTH","Indirect",0.842175925925926,3.5605067772558,0.846643518518519,3.02583300234983
"53","014","LIE","Direct",0.468518518518519,4.53614055358339,0.521805555555556,4.34966768925078
"54","014","LIE","Indirect",0.575092592592593,4.16319482491817,0.521805555555556,4.34966768925078
"55","014","TRUTH","Direct",0.573194444444444,4.89118500391487,0.617523148148148,4.76617440943373
"56","014","TRUTH","Indirect",0.661851851851852,4.6411638149526,0.617523148148148,4.76617440943373
"57","015","LIE","Direct",0,0,0,0
"58","015","LIE","Indirect",0,0,0,0
"59","015","TRUTH","Direct",0,0,0,0
"60","015","TRUTH","Indirect",0,0,0,0
"61","016","LIE","Direct",0.394583333333333,2.5869603469735,0.408657407407407,2.94769954521907
"62","016","LIE","Indirect",0.422731481481481,3.30843874346465,0.408657407407407,2.94769954521907
"63","016","TRUTH","Direct",0.654444444444444,2.22977234611753,0.660208333333333,2.4461637299275
