Tap_Number,Tap_Times,Condition,ID
33.0,478.88004348776303,Guess,2
34.0,480.44782509095967,Guess,2
35.0,481.87189223081805,Guess,2
36.0,483.04008035431616,Guess,2
37.0,484.5520077708643,Guess,2
38.0,485.8398072235286,Guess,2
39.0,487.15195811074227,Guess,2
40.0,488.4398364806548,Guess,2
41.0,489.88788581243716,Guess,2
42.0,491.255886715604,Guess,2
43.0,492.38382606371306,Guess,2
44.0,493.7440067776479,Guess,2
45.0,494.9679830025416,Guess,2
46.0,496.2318365140818,Guess,2
1.0,555.5039057636168,NoGuess,2
2.0,557.639946965035,NoGuess,2
3.0,560.0558503367938,NoGuess,2
4.0,561.3439818194602,NoGuess,2
5.0,562.3199274474755,NoGuess,2
6.0,563.4878980671056,NoGuess,2
7.0,566.303848532727,NoGuess,2
8.0,567.2320546593983,NoGuess,2
9.0,573.8718630380463,NoGuess,2
10.0,575.1598398941569,NoGuess,2
11.0,585.7437921613455,NoGuess,2
12.0,587.1278113478329,NoGuess,2
13.0,588.2159420605749,NoGuess,2
14.0,590.0158986239694,NoGuess,2
15.0,591.3678055349737,NoGuess,2
16.0,592.5359388012439,NoGuess,2
17.0,594.1358368503861,NoGuess,2
18.0,595.4238499570638,NoGuess,2
19.0,598.2480591482017,NoGuess,2
20.0,606.4719696084503,NoGuess,2
21.0,607.7358959419653,NoGuess,2
22.0,609.3118211028632,NoGuess,2
23.0,611.7757575095166,NoGuess,2
24.0,613.1599435131066,NoGuess,2
1.0,723.2159032435156,NoGuess_Perturbed,2
2.0,724.7519780648872,NoGuess_Perturbed,2
3.0,726.0639839495998,NoGuess_Perturbed,2
4.0,727.648065820802,NoGuess_Perturbed,2
5.0,729.1356424442492,NoGuess_Perturbed,2
6.0,730.5439845141955,NoGuess_Perturbed,2
7.0,732.4317991086282,NoGuess_Perturbed,2
8.0,733.9277983873617,NoGuess_Perturbed,2
9.0,736.0318966966588,NoGuess_Perturbed,2
10.0,738.3677728131879,NoGuess_Perturbed,2
11.0,746.4399542149622,NoGuess_Perturbed,2
12.0,747.9918304574676,NoGuess_Perturbed,2
13.0,750.8237902235705,NoGuess_Perturbed,2
14.0,752.1839481608476,NoGuess_Perturbed,2
15.0,756.2477685015183,NoGuess_Perturbed,2
16.0,757.9597775302827,NoGuess_Perturbed,2
17.0,759.3518927956466,NoGuess_Perturbed,2
18.0,760.7197721151169,NoGuess_Perturbed,2
1.0,316.5117160077207,Guess,3
2.0,317.3758105058223,Guess,3
3.0,318.63169657997787,Guess,3
4.0,319.76765886414796,Guess,3
5.0,321.015368017368,Guess,3
6.0,322.24772583460435,Guess,3
7.0,323.5276094991714,Guess,3
8.0,324.75169190904126,Guess,3
9.0,325.9837844232097,Guess,3
10.0,327.1195952887647,Guess,3
11.0,328.3596151401289,Guess,3
12.0,329.6156824673526,Guess,3
13.0,331.0874028126709,Guess,3
14.0,332.1679728650488,Guess,3
15.0,333.31158050103113,Guess,3
16.0,334.47965185251087,Guess,3
17.0,335.5359070417471,Guess,3
18.0,336.47979428851977,Guess,3
19.0,337.567758184392,Guess,3
20.0,338.59961317665875,Guess,3
21.0,339.63156248489395,Guess,3
22.0,340.68764572404325,Guess,3
23.0,341.76770538045093,Guess,3
24.0,343.0877005169168,Guess,3
25.0,344.2796520451084,Guess,3
26.0,345.80762212583795,Guess,3
27.0,347.04781071888283,Guess,3
28.0,348.40768442535773,Guess,3
29.0,349.82388453930616,Guess,3
30.0,350.99941870663315,Guess,3
31.0,352.3515992616303,Guess,3
32.0,353.8480900092982,Guess,3
33.0,355.2079611495137,Guess,3
34.0,356.7195815583691,Guess,3
35.0,358.25559125700966,Guess,3
36.0,364.1039106398821,Guess,3
37.0,365.33575709862635,Guess,3
38.0,366.50398756796494,Guess,3
39.0,368.0315842353739,Guess,3
40.0,369.30357296345755,Guess,3
41.0,370.7436401010491,Guess,3
42.0,372.2476613535546,Guess,3
43.0,373.6556158945896,Guess,3
1.0,407.6716960929334,NoGuess,3
2.0,413.095923634246,NoGuess,3
3.0,415.2557269567624,NoGuess,3
4.0,417.2478641010821,NoGuess,3
5.0,419.4315504874103,NoGuess,3
6.0,420.8796062353067,NoGuess,3
7.0,422.6477045980282,NoGuess,3
8.0,425.0078282095492,NoGuess,3
9.0,427.4156618081033,NoGuess,3
10.0,430.2955702384934,NoGuess,3
11.0,433.00751382345334,NoGuess,3
12.0,435.4159944797866,NoGuess,3
13.0,437.91975812846795,NoGuess,3
14.0,440.22358324285597,NoGuess,3
15.0,442.67957530962303,NoGuess,3
16.0,450.0316573786549,NoGuess,3
17.0,459.1038070213981,NoGuess,3
18.0,462.4395714988932,NoGuess,3
1.0,527.0475925737992,NoGuess_Perturbed,3
2.0,528.4637089581229,NoGuess_Perturbed,3
3.0,529.5436941883527,NoGuess_Perturbed,3
4.0,531.3357259812765,NoGuess_Perturbed,3
5.0,532.6076601734385,NoGuess_Perturbed,3
6.0,534.1118171247654,NoGuess_Perturbed,3
7.0,535.4235419873148,NoGuess_Perturbed,3
8.0,537.7357008946128,NoGuess_Perturbed,3
9.0,539.2476703361608,NoGuess_Perturbed,3
10.0,540.6074779578485,NoGuess_Perturbed,3
11.0,542.2875511520542,NoGuess_Perturbed,3
12.0,544.0476573756896,NoGuess_Perturbed,3
13.0,545.7276526149362,NoGuess_Perturbed,3
14.0,547.5756524791941,NoGuess_Perturbed,3
15.0,549.679583650548,NoGuess_Perturbed,3
16.0,551.4797355821356,NoGuess_Perturbed,3
17.0,552.9919263771735,NoGuess_Perturbed,3
18.0,554.9676846568473,NoGuess_Perturbed,3
19.0,556.743893855717,NoGuess_Perturbed,3
20.0,558.3676903671585,NoGuess_Perturbed,3
21.0,559.9275266681798,NoGuess_Perturbed,3
1.0,380.1299472474493,Guess,4
2.0,380.84166306303814,Guess,4
3.0,381.5296263813507,Guess,4
4.0,382.23393455916084,Guess,4
5.0,382.8336426934693,Guess,4
6.0,383.5059569715522,Guess,4
7.0,384.1618426607456,Guess,4
8.0,384.81813673092984,Guess,4
9.0,385.42582577629946,Guess,4
10.0,385.95423022285104,Guess,4
11.0,386.60205800877884,Guess,4
12.0,387.20994338486344,Guess,4
13.0,387.74573237169534,Guess,4
14.0,388.3859042187687,Guess,4
15.0,388.94595802389085,Guess,4
16.0,389.5539781367406,Guess,4
17.0,390.16183399921283,Guess,4
18.0,390.80192596674897,Guess,4
19.0,391.3618331651669,Guess,4
20.0,391.9138258586172,Guess,4
21.0,392.57013661041856,Guess,4
22.0,393.14601108431816,Guess,4
23.0,393.92197294486687,Guess,4
24.0,394.44177508703433,Guess,4
25.0,395.0017329722177,Guess,4
26.0,395.56194525328465,Guess,4
27.0,396.14596520969644,Guess,4
28.0,396.69034302723594,Guess,4
29.0,397.2098558060825,Guess,4
30.0,397.73807386658154,Guess,4
31.0,398.26600031834096,Guess,4
32.0,398.84187607560307,Guess,4
33.0,399.42595345550217,Guess,4
34.0,400.05000821268186,Guess,4
35.0,400.6417537217494,Guess,4
36.0,401.1862213637214,Guess,4
37.0,401.72186438553035,Guess,4
38.0,402.8978216906544,Guess,4
39.0,403.44987116591074,Guess,4
40.0,403.993975660298,Guess,4
41.0,404.6097226089332,Guess,4
42.0,405.145802883897,Guess,4
43.0,405.7378477011807,Guess,4
44.0,406.3702741060406,Guess,4
45.0,406.9138739788905,Guess,4
46.0,407.5379957833793,Guess,4
47.0,408.1458837259561,Guess,4
48.0,408.73787593189627,Guess,4
49.0,409.3379138505552,Guess,4
50.0,409.9378837593831,Guess,4
51.0,410.53798198886216,Guess,4
52.0,411.1137021572795,Guess,4
53.0,411.69800056982785,Guess,4
54.0,412.3217922693584,Guess,4
55.0,412.83401001174934,Guess,4
56.0,413.425927470671,Guess,4
57.0,414.09772846568376,Guess,4
58.0,414.1538261407986,Guess,4
59.0,414.55406186613254,Guess,4
60.0,415.1379047399387,Guess,4
61.0,415.633860389702,Guess,4
62.0,416.1463617209811,Guess,4
63.0,416.6018241441343,Guess,4
64.0,417.1778785882052,Guess,4
65.0,417.68994715763256,Guess,4
66.0,418.2339329549577,Guess,4
67.0,418.7537306060549,Guess,4
68.0,419.4978708375711,Guess,4
69.0,419.94597759260796,Guess,4
70.0,420.60997957130894,Guess,4
71.0,421.49772358941846,Guess,4
72.0,421.94607832445763,Guess,4
73.0,422.4102633527946,Guess,4
74.0,423.04183449968696,Guess,4
75.0,423.84178175986744,Guess,4
76.0,424.4179484844208,Guess,4
77.0,425.03395111253485,Guess,4
78.0,425.57816211297177,Guess,4
79.0,426.11392479389906,Guess,4
80.0,426.6581232829485,Guess,4
81.0,427.194081973983,Guess,4
82.0,427.69789951713756,Guess,4
83.0,428.2261843045708,Guess,4
84.0,428.7619049604982,Guess,4
85.0,429.2740630337503,Guess,4
86.0,429.8658508886583,Guess,4
87.0,430.3617552102078,Guess,4
88.0,430.8577599427663,Guess,4
89.0,431.3378092693165,Guess,4
90.0,431.8418321257923,Guess,4
91.0,433.01818658364937,Guess,4
92.0,433.45783828245476,Guess,4
93.0,434.0579108479433,Guess,4
94.0,434.6659418682102,Guess,4
95.0,435.40982706216164,Guess,4
96.0,435.9381711978931,Guess,4
97.0,436.5142137722578,Guess,4
98.0,437.32175505626947,Guess,4
99.0,438.0259487077128,Guess,4
100.0,438.50610261573456,Guess,4
101.0,439.01035035424866,Guess,4
1.0,469.72182621015236,NoGuess,4
2.0,470.52169487369247,NoGuess,4
3.0,471.3779871475417,NoGuess,4
4.0,472.3139294134453,NoGuess,4
5.0,473.185884200735,NoGuess,4
6.0,474.0179216011893,NoGuess,4
7.0,474.80180726991966,NoGuess,4
8.0,475.5140338023193,NoGuess,4
9.0,476.3618305986747,NoGuess,4
10.0,477.1377860431094,NoGuess,4
11.0,477.8978941917885,NoGuess,4
12.0,478.71381995570846,NoGuess,4
13.0,479.5378164551221,NoGuess,4
14.0,480.3058073495049,NoGuess,4
15.0,481.06578172394074,NoGuess,4
16.0,481.7700250996277,NoGuess,4
17.0,482.5060124702286,NoGuess,4
18.0,483.2018133010715,NoGuess,4
19.0,483.8899520977866,NoGuess,4
20.0,484.689818515908,NoGuess,4
21.0,485.4659449479077,NoGuess,4
22.0,486.1537760957144,NoGuess,4
23.0,486.9462643896695,NoGuess,4
24.0,487.5465137169231,NoGuess,4
25.0,488.3218214621302,NoGuess,4
26.0,489.09004814596847,NoGuess,4
27.0,489.72986486554146,NoGuess,4
28.0,490.4499674064573,NoGuess,4
29.0,491.3218111966271,NoGuess,4
30.0,492.0498535861261,NoGuess,4
31.0,492.7617817725986,NoGuess,4
32.0,493.40988448564894,NoGuess,4
33.0,494.0261277151294,NoGuess,4
34.0,494.6739362529479,NoGuess,4
35.0,495.3538605947979,NoGuess,4
36.0,496.03392673144117,NoGuess,4
37.0,496.7621452412568,NoGuess,4
38.0,497.47396692144684,NoGuess,4
39.0,498.17794563574716,NoGuess,4
40.0,498.94595545739867,NoGuess,4
41.0,499.51400204282254,NoGuess,4
42.0,500.30563764530234,NoGuess,4
43.0,500.92962214676663,NoGuess,4
44.0,501.5618124413304,NoGuess,4
45.0,502.17788243759423,NoGuess,4
46.0,502.7857761546038,NoGuess,4
47.0,503.4660540204495,NoGuess,4
48.0,504.16964552667923,NoGuess,4
49.0,504.7617846596986,NoGuess,4
50.0,505.4344473287929,NoGuess,4
51.0,506.0584982363507,NoGuess,4
52.0,506.7777968477458,NoGuess,4
53.0,507.4259540971834,NoGuess,4
54.0,508.0818895106204,NoGuess,4
55.0,508.8179596483242,NoGuess,4
56.0,509.8018579566851,NoGuess,4
57.0,511.5379486256279,NoGuess,4
58.0,512.3459987014066,NoGuess,4
59.0,513.1699839727953,NoGuess,4
60.0,514.0018539144658,NoGuess,4
61.0,514.8502355327364,NoGuess,4
62.0,515.6501125374343,NoGuess,4
63.0,516.4661425617523,NoGuess,4
64.0,517.1700664188247,NoGuess,4
65.0,517.9299679712858,NoGuess,4
66.0,518.569849813357,NoGuess,4
67.0,519.3618123128545,NoGuess,4
68.0,520.1457595757674,NoGuess,4
69.0,521.041910850443,NoGuess,4
70.0,521.9379687719047,NoGuess,4
71.0,522.6501937003341,NoGuess,4
72.0,523.6099353006575,NoGuess,4
73.0,524.4663581408095,NoGuess,4
74.0,525.201819396345,NoGuess,4
75.0,525.9299182468094,NoGuess,4
76.0,526.7059035259299,NoGuess,4
77.0,527.3538323643152,NoGuess,4
1.0,632.8818037281744,NoGuess_Perturbed,4
2.0,635.5298108423594,NoGuess_Perturbed,4
3.0,636.305826918222,NoGuess_Perturbed,4
4.0,637.0099195172079,NoGuess_Perturbed,4
5.0,637.8659779261798,NoGuess_Perturbed,4
6.0,638.5059146254789,NoGuess_Perturbed,4
7.0,639.2417945275083,NoGuess_Perturbed,4
8.0,640.0097408303991,NoGuess_Perturbed,4
9.0,640.7218384004664,NoGuess_Perturbed,4
10.0,641.4658474239986,NoGuess_Perturbed,4
11.0,642.2417884322349,NoGuess_Perturbed,4
12.0,643.0898694591597,NoGuess_Perturbed,4
13.0,643.8099325418007,NoGuess_Perturbed,4
14.0,644.5699011415709,NoGuess_Perturbed,4
15.0,645.329917220166,NoGuess_Perturbed,4
16.0,646.1224109677132,NoGuess_Perturbed,4
17.0,647.0500197613146,NoGuess_Perturbed,4
18.0,647.681784351822,NoGuess_Perturbed,4
19.0,648.4578889689874,NoGuess_Perturbed,4
20.0,649.2099356856197,NoGuess_Perturbed,4
21.0,650.0101245096885,NoGuess_Perturbed,4
22.0,650.8496510316618,NoGuess_Perturbed,4
23.0,651.6817862766329,NoGuess_Perturbed,4
24.0,652.4017887273803,NoGuess_Perturbed,4
25.0,653.4099958038423,NoGuess_Perturbed,4
26.0,654.0421905897092,NoGuess_Perturbed,4
27.0,654.8416941806208,NoGuess_Perturbed,4
28.0,655.5698340940289,NoGuess_Perturbed,4
29.0,656.4739768663421,NoGuess_Perturbed,4
30.0,657.1617929362692,NoGuess_Perturbed,4
31.0,657.8818268259056,NoGuess_Perturbed,4
32.0,658.6738063278608,NoGuess_Perturbed,4
33.0,659.5460090953857,NoGuess_Perturbed,4
34.0,660.4177463790402,NoGuess_Perturbed,4
35.0,662.0659225557465,NoGuess_Perturbed,4
36.0,662.8178431971464,NoGuess_Perturbed,4
37.0,663.5299953033682,NoGuess_Perturbed,4
38.0,664.3460102502722,NoGuess_Perturbed,4
39.0,665.1058842134662,NoGuess_Perturbed,4
40.0,665.8898882581852,NoGuess_Perturbed,4
41.0,666.6499293593224,NoGuess_Perturbed,4
42.0,667.3859610005748,NoGuess_Perturbed,4
43.0,668.1378976821434,NoGuess_Perturbed,4
44.0,668.8105212133378,NoGuess_Perturbed,4
45.0,669.5537821266335,NoGuess_Perturbed,4
46.0,671.0977477135602,NoGuess_Perturbed,4
47.0,671.7381867887452,NoGuess_Perturbed,4
48.0,672.5059730114881,NoGuess_Perturbed,4
49.0,673.625899047358,NoGuess_Perturbed,4
50.0,674.3857977124862,NoGuess_Perturbed,4
51.0,675.3939467237797,NoGuess_Perturbed,4
52.0,677.3778386160266,NoGuess_Perturbed,4
53.0,678.1782725327648,NoGuess_Perturbed,4
54.0,679.0418024193496,NoGuess_Perturbed,4
55.0,680.0018417239189,NoGuess_Perturbed,4
56.0,680.7136601961683,NoGuess_Perturbed,4
57.0,681.5700483897235,NoGuess_Perturbed,4
58.0,682.2579613421112,NoGuess_Perturbed,4
59.0,683.0017814130988,NoGuess_Perturbed,4
60.0,683.8658845727332,NoGuess_Perturbed,4
1.0,358.9319928730838,Guess,5
2.0,360.94777921633795,Guess,5
3.0,362.85194957768545,Guess,5
4.0,366.03568889643066,Guess,5
5.0,369.06784929241985,Guess,5
6.0,371.49216762022115,Guess,5
7.0,376.5638315686956,Guess,5
8.0,381.41981875966303,Guess,5
9.0,385.11569850775413,Guess,5
10.0,391.60430586803705,Guess,5
11.0,395.17208426306024,Guess,5
12.0,399.5398105599452,Guess,5
13.0,406.36380770104006,Guess,5
14.0,409.3880166995805,Guess,5
15.0,414.1479496904649,Guess,5
1.0,451.17183981207205,NoGuess,5
2.0,454.78814848512417,NoGuess,5
3.0,459.29999120999133,NoGuess,5
4.0,462.53978906618437,NoGuess,5
5.0,465.9157782590483,NoGuess,5
6.0,469.56393294199376,NoGuess,5
7.0,473.17180452379404,NoGuess,5
8.0,476.65192025620496,NoGuess,5
9.0,481.811838105321,NoGuess,5
10.0,486.3000098164194,NoGuess,5
11.0,493.73982223705394,NoGuess,5
12.0,499.4279340866488,NoGuess,5
1.0,561.1717778972816,NoGuess_Perturbed,5
2.0,563.7482651032042,NoGuess_Perturbed,5
3.0,566.4998973433394,NoGuess_Perturbed,5
4.0,568.6118238619529,NoGuess_Perturbed,5
5.0,570.2039052506443,NoGuess_Perturbed,5
6.0,571.7081074353773,NoGuess_Perturbed,5
7.0,574.2197146916296,NoGuess_Perturbed,5
8.0,576.8118108373601,NoGuess_Perturbed,5
1.0,422.48630404641375,Guess,6
2.0,425.04625166609407,Guess,6
3.0,427.6862666409601,Guess,6
4.0,430.25441203342274,Guess,6
5.0,432.8781989210424,Guess,6
6.0,435.4302727773924,Guess,6
7.0,437.87835900095746,Guess,6
8.0,440.55807995453,Guess,6
9.0,443.0622474931319,Guess,6
10.0,445.382295561782,Guess,6
11.0,447.4703104652603,Guess,6
12.0,449.51032954623446,Guess,6
13.0,451.27032220625773,Guess,6
14.0,453.24664188950777,Guess,6
15.0,455.27030905365467,Guess,6
16.0,457.2541467303549,Guess,6
17.0,459.34233294177324,Guess,6
18.0,461.4302095792395,Guess,6
19.0,464.14233634231135,Guess,6
20.0,466.47832826833695,Guess,6
21.0,468.78230063041195,Guess,6
22.0,471.0307351172109,Guess,6
23.0,473.3262508188513,Guess,6
24.0,476.03841062478244,Guess,6
25.0,478.91031665011764,Guess,6
1.0,517.3660982137774,NoGuess,6
2.0,519.8222468326096,NoGuess,6
3.0,522.6462096477155,NoGuess,6
4.0,525.1902804577951,NoGuess,6
5.0,527.8861579600018,NoGuess,6
6.0,530.8382837221254,NoGuess,6
7.0,533.6541568747018,NoGuess,6
8.0,536.6702361100581,NoGuess,6
9.0,539.8940657282476,NoGuess,6
10.0,542.9264513271157,NoGuess,6
11.0,546.0942621872057,NoGuess,6
12.0,548.8539879404236,NoGuess,6
13.0,551.6782529510785,NoGuess,6
14.0,554.710142589942,NoGuess,6
15.0,557.3662387252082,NoGuess,6
16.0,560.3182281463635,NoGuess,6
17.0,562.8863145116013,NoGuess,6
18.0,565.9261728709791,NoGuess,6
19.0,568.5661997155514,NoGuess,6
20.0,571.3823060908583,NoGuess,6
21.0,573.950328295887,NoGuess,6
1.0,635.5021301661667,NoGuess_Perturbed,6
2.0,636.3260910566945,NoGuess_Perturbed,6
3.0,637.3582870615695,NoGuess_Perturbed,6
4.0,638.5819906042938,NoGuess_Perturbed,6
5.0,639.7581965308685,NoGuess_Perturbed,6
6.0,640.8381496812266,NoGuess_Perturbed,6
7.0,642.0305769587916,NoGuess_Perturbed,6
8.0,642.9901985791561,NoGuess_Perturbed,6
9.0,643.8780725216542,NoGuess_Perturbed,6
10.0,644.886224741121,NoGuess_Perturbed,6
11.0,645.8221942749855,NoGuess_Perturbed,6
12.0,646.7502791388009,NoGuess_Perturbed,6
13.0,647.7423158721116,NoGuess_Perturbed,6
14.0,648.8783278800596,NoGuess_Perturbed,6
15.0,649.7422574861024,NoGuess_Perturbed,6
16.0,650.5904318662409,NoGuess_Perturbed,6
17.0,651.4702142211657,NoGuess_Perturbed,6
18.0,652.3740551192362,NoGuess_Perturbed,6
19.0,653.1981026260231,NoGuess_Perturbed,6
20.0,654.1181398518432,NoGuess_Perturbed,6
21.0,654.9501804602381,NoGuess_Perturbed,6
22.0,655.7422680724461,NoGuess_Perturbed,6
23.0,656.5580680817415,NoGuess_Perturbed,6
24.0,657.3423297307503,NoGuess_Perturbed,6
25.0,658.118204332893,NoGuess_Perturbed,6
26.0,658.8539754832212,NoGuess_Perturbed,6
27.0,659.566212281124,NoGuess_Perturbed,6
28.0,660.4140844661791,NoGuess_Perturbed,6
29.0,661.214065089361,NoGuess_Perturbed,6
30.0,662.038242521235,NoGuess_Perturbed,6
31.0,662.8861256134745,NoGuess_Perturbed,6
32.0,663.6863044924152,NoGuess_Perturbed,6
33.0,664.4302862477538,NoGuess_Perturbed,6
34.0,665.1182088241961,NoGuess_Perturbed,6
35.0,665.8861589767088,NoGuess_Perturbed,6
36.0,666.6303688222591,NoGuess_Perturbed,6
37.0,667.4062280259144,NoGuess_Perturbed,6
38.0,668.1259491336581,NoGuess_Perturbed,6
39.0,668.9822449362886,NoGuess_Perturbed,6
40.0,669.7982361437802,NoGuess_Perturbed,6
41.0,670.5422134078157,NoGuess_Perturbed,6
42.0,671.2781282770496,NoGuess_Perturbed,6
43.0,671.9662843975287,NoGuess_Perturbed,6
44.0,672.7659471062992,NoGuess_Perturbed,6
45.0,673.4782198341612,NoGuess_Perturbed,6
46.0,674.2142386431855,NoGuess_Perturbed,6
47.0,674.9021990741652,NoGuess_Perturbed,6
48.0,675.7261788919617,NoGuess_Perturbed,6
49.0,676.4140690676917,NoGuess_Perturbed,6
50.0,677.1502174804967,NoGuess_Perturbed,6
51.0,677.7902690270033,NoGuess_Perturbed,6
52.0,678.4702321863782,NoGuess_Perturbed,6
53.0,679.3022314114545,NoGuess_Perturbed,6
54.0,680.0541931153324,NoGuess_Perturbed,6
