"ID","instruction","style","DT_RT_avg","DT_confidence_avg"
1,"LIE","Direct",3.72470200706157,0.425231481481481
1,"LIE","Indirect",3.66138401021017,0.373472222222222
1,"TRUTH","Direct",3.60218790138024,0.500740740740741
1,"TRUTH","Indirect",3.88885203585378,0.533055555555556
2,"LIE","Direct",5.90533389388584,0.131296296296296
2,"LIE","Indirect",7.01764595204731,0.0782407407407407
2,"TRUTH","Direct",6.33769073277945,0.933657407407407
2,"TRUTH","Indirect",7.33093892636243,0.953240740740741
3,"LIE","Direct",3.45557042111177,NA
3,"LIE","Indirect",3.25059837584849,NA
3,"TRUTH","Direct",3.15632581352256,NA
3,"TRUTH","Indirect",3.68631102782674,NA
4,"LIE","Direct",3.69468957277713,0.719103313840156
4,"LIE","Indirect",4.02797251881566,0.617268518518518
4,"TRUTH","Direct",3.87050418517319,0.775740740740741
4,"TRUTH","Indirect",3.75140682884958,0.771759259259259
5,"LIE","Direct",3.24557158567477,0.571157407407407
5,"LIE","Indirect",3.58313702926971,0.483703703703704
5,"TRUTH","Direct",3.35715826246887,0.737314814814815
5,"TRUTH","Indirect",3.54474507151172,0.7125
6,"LIE","Direct",2.93719510976225,0.144537037037037
6,"LIE","Indirect",3.25560930243228,0.0838888888888889
6,"TRUTH","Direct",3.00064646401443,0.931666666666667
6,"TRUTH","Indirect",3.48056389286648,0.867685185185185
7,"LIE","Direct",3.7821805100888,0.644768518518518
7,"LIE","Indirect",3.90300612284336,0.605092592592593
7,"TRUTH","Direct",3.55300224116072,0.637222222222222
7,"TRUTH","Indirect",3.82721797663253,0.743796296296296
8,"LIE","Direct",4.25803849487565,0.433981481481481
8,"LIE","Indirect",4.70540232090279,0.45537037037037
8,"TRUTH","Direct",4.16717806237284,0.706574074074074
8,"TRUTH","Indirect",5.01126709396485,0.718009259259259
9,"LIE","Direct",4.27541316088755,0.000648148148148145
9,"LIE","Indirect",5.21542471933644,0.000509259259259259
9,"TRUTH","Direct",4.71878863258753,0.999490740740741
9,"TRUTH","Indirect",5.57525678593665,0.999122807017544
10,"LIE","Direct",2.97813065815717,0.606990740740741
10,"LIE","Indirect",3.42548447507434,0.573781676413255
10,"TRUTH","Direct",3.15071651118342,0.843055555555556
10,"TRUTH","Indirect",3.28810289914254,0.835787037037037
11,"LIE","Direct",3.51554540505167,0.39375
11,"LIE","Indirect",3.67804179601371,0.375324074074074
11,"TRUTH","Direct",3.23058124824893,0.724953703703704
11,"TRUTH","Indirect",3.73724393590819,0.722083333333333
12,"LIE","Direct",3.66306506050751,0.590689300411523
12,"LIE","Indirect",3.87129390332848,0.570857699805068
12,"TRUTH","Direct",3.56060954621062,0.658333333333333
12,"TRUTH","Indirect",5.24795426197816,0.623240740740741
13,"LIE","Direct",7.17844621490221,0.287592592592593
13,"LIE","Indirect",7.2568147477461,0.278021442495127
13,"TRUTH","Direct",7.37346119317226,0.851111111111111
13,"TRUTH","Indirect",7.76682096165605,0.842175925925926
14,"LIE","Direct",4.15377989716362,0.468518518518519
14,"LIE","Indirect",4.09722993932664,0.575092592592593
14,"TRUTH","Direct",5.57457046229392,0.573194444444444
14,"TRUTH","Indirect",5.0121834005462,0.661851851851852
15,"LIE","Direct",4.35391492266208,NA
15,"LIE","Indirect",4.40792324680369,NA
15,"TRUTH","Direct",3.94800735472236,NA
15,"TRUTH","Indirect",4.36045913819689,NA
16,"LIE","Direct",4.91706427393947,0.394583333333333
16,"LIE","Indirect",4.95378033022862,0.422731481481481
16,"TRUTH","Direct",4.99879931854084,0.654444444444444
16,"TRUTH","Indirect",5.1411893828772,0.665972222222222
17,"LIE","Direct",2.55650356991682,0.600277777777778
17,"LIE","Indirect",2.88401738998946,0.654722222222222
17,"TRUTH","Direct",2.73973764178809,0.741203703703704
17,"TRUTH","Indirect",2.69648519747425,0.791574074074074
18,"LIE","Direct",6.23521589017473,0.227083333333333
18,"LIE","Indirect",5.53128013124224,0.186851851851852
18,"TRUTH","Direct",4.04883032403886,0.729212962962963
18,"TRUTH","Indirect",6.20778711452149,0.841851851851852
19,"LIE","Direct",3.00146620930173,NA
19,"LIE","Indirect",3.86974731713999,NA
19,"TRUTH","Direct",3.43556072008796,NA
19,"TRUTH","Indirect",3.97883262089454,NA
20,"LIE","Direct",3.83812591668684,0.344444444444444
20,"LIE","Indirect",3.73391430031043,0.384444444444444
20,"TRUTH","Direct",3.92960820777807,0.846157407407407
20,"TRUTH","Indirect",4.15631970223039,0.76162037037037
21,"LIE","Direct",4.97949403431267,0.55712962962963
21,"LIE","Indirect",4.95368445860222,0.5425
