item,style,condition,question,bitalino,,
28,Direct,TRUTH,What religion do you practice?,bit/B22.mp4,buddhism,.
14,Direct,LIE,"What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",bit/B13.mp4,chocolate,.
10,Direct,LIE,What food do you hate the most?,bit/B23.mp4,fried chicken,X
22,Direct,LIE,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",bit/B26.mp4,3,.
29,Indirect,LIE,Do you use a Xiaomi phone?,bit/B27.mp4,xiaomi,.
18,Indirect,LIE,Was the last country you visited Australia?,bit/B35.mp4,not australia,/
14,Indirect,TRUTH,Is your favourite flavour Strawberry?,bit/B25.mp4,not strawberry,/
12,Direct,TRUTH,What was your favourite subject back in secondary school?,bit/B18.mp4,UNCLEAR ANSWER,X
20,Indirect,TRUTH,Is your house on the 8th floor of the building?,bit/B17.mp4,8,.
5,Indirect,TRUTH,Is your favourite country Germany?,bit/B10.mp4,not germany,/
6,Direct,LIE,What CCA (Co-curricular Activity) did you join in secondary school?,bit/B38.mp4,basketball,.
28,Indirect,LIE,Is your religion Catholicism?,bit/B37.mp4,catholic,.
1,Indirect,LIE,Are you from Clementi Primary School?,bit/B24.mp4,clementi,.
16,Direct,LIE,"How many siblings do you have? (Eg. 0, 1, 2, 3)",bit/B15.mp4,3,.
8,Direct,LIE,What is your favourite food?,bit/B11.mp4,bitter gourd,.
13,Indirect,LIE,Is your dream job an Engineer when you were growing up?,bit/B29.mp4,engineer,.
7,Direct,TRUTH,What is your favourite sport?,bit/B30.mp4,table tennis,.
1,Direct,TRUTH,Which primary school are you from?,bit/B2.mp4,evergreen,.
23,Indirect,LIE,Are you studying Economics in NTU?,bit/B21.mp4,econs,.
19,Direct,LIE,Which MRT station is closest to your house?,bit/B5.mp4,bedok,.
2,Direct,LIE,Which secondary school did you attend?,bit/B40.mp4,whitley sec,.
15,Direct,TRUTH,Which polytechnic or junior college are you from?,bit/B28.mp4,ngee ann poly,.
10,Indirect,TRUTH,Do you hate eating Pizza the most?,bit/B39.mp4,do not hate eating pizza the most,/
29,Indirect,TRUTH,Do you use a Apple phone?,bit/B9.mp4,apple,.
6,Direct,TRUTH,What CCA (Co-curricular Activity) did you join in secondary school?,bit/B3.mp4,chinese orchestra,.
18,Direct,TRUTH,What was the last country you visited?,bit/B16.mp4,australia,.
19,Direct,TRUTH,Which MRT station is closest to your house?,bit/B7.mp4,woodlands,.
2,Indirect,TRUTH,Are you from Serangoon Secondary School?,bit/B6.mp4,not from serangoon,/
8,Direct,TRUTH,What is your favourite food?,bit/B19.mp4,fried chicken,.
13,Indirect,TRUTH,Is your dream job a Doctor when you were growing up?,bit/B8.mp4,doctor,.
12,Indirect,LIE,Was your favourite subject History back in secondary school?,bit/B32.mp4,history,.
23,Direct,TRUTH,What course are you studying?,bit/B20.mp4,biological science,.
16,Direct,TRUTH,"How many siblings do you have? (Eg. 0, 1, 2, 3)",bit/B33.mp4,1,.
9,Direct,LIE,What is your favourite drink?,bit/B36.mp4,coffee,.
9,Indirect,TRUTH,Is your favourite drink Apple Juice?,bit/B34.mp4,not apple juice,/
7,Direct,LIE,What is your favourite sport?,bit/B31.mp4,baseball,.
20,Direct,LIE,Which floor of the building is your house on?,bit/B4.mp4,13,.
15,Indirect,LIE,Are you from Ngee Ann Polytechnic?,bit/B1.mp4,not from ngee ann poly,/
5,Direct,LIE,What is your favourite country you visited? ,bit/B14.mp4,china,.
22,Indirect,TRUTH,Are you in your 2nd year in NTU?,bit/B12.mp4,2,.
