item,style,condition,question,bitalino,,,
9,Indirect,LIE,Is your favourite drink Green Tea?,bit/B37.mp4,green tea,.,
9,Indirect,TRUTH,Is your favourite drink Apple Juice?,bit/B29.mp4,apple juice,.,
30,Indirect,LIE,Do you use a HP laptop?,bit/B39.mp4,hp,.,
15,Direct,TRUTH,Which polytechnic or junior college are you from?,bit/B6.mp4,tampines jc,.,
19,Indirect,TRUTH,Is the Lorong Chuan station the closest MRT to your house?,bit/B36.mp4,lorong chuan,.,
2,Indirect,LIE,Are you from Serangoon Secondary School?,bit/B33.mp4,serangoon sec,.,stammering
30,Direct,TRUTH,What brand of laptop do you mainly use?,bit/B5.mp4,mircosoft,.,
21,Direct,LIE,"Which school in NTU are you from? (Eg. NBS, SSS, SOH)",bit/B2.mp4,sbs,X,
13,Direct,TRUTH,What is your dream job growing up?,bit/B38.mp4,singer,.,
19,Direct,LIE,Which MRT station is closest to your house?,bit/B11.mp4,serangoon,.,
23,Indirect,LIE,Are you studying Biological Sciences course in NTU?,bit/B3.mp4,not studying bio science,/,
29,Direct,LIE,What brand of handphone do you use?,bit/B30.mp4,apple,.,
16,Direct,TRUTH,"How many siblings do you have? (Eg. 0, 1, 2, 3)",bit/B1.mp4,1,.,
4,Direct,LIE,Who is your favourite teacher in secondary school?,bit/B21.mp4,mrs keen,.,
27,Indirect,TRUTH,Do you drink alcohol socially?,bit/B8.mp4,socially,.,
1,Direct,TRUTH,Which primary school are you from?,bit/B15.mp4,pei chun public,.,
21,Direct,TRUTH,"Which school in NTU are you from? (Eg. NBS, SSS, SOH)",bit/B28.mp4,sbs,.,
12,Direct,LIE,What was your favourite subject back in secondary school?,bit/B26.mp4,geog,.,
1,Indirect,LIE,Are you from Pei Chun Public Primary School?,bit/B25.mp4,not from pei chun public,/,
27,Direct,LIE,How frequently do you drink alcohol?,bit/B23.mp4,very frequent,.,
28,Direct,TRUTH,What religion do you practice?,bit/B24.mp4,christian,.,
22,Indirect,TRUTH,Are you in your 2nd year in NTU?,bit/B16.mp4,3,.,
20,Direct,TRUTH,Which floor of the building is your house on?,bit/B22.mp4,4,.,
10,Direct,LIE,What food do you hate the most?,bit/B19.mp4,pasta,.,
16,Direct,LIE,"How many siblings do you have? (Eg. 0, 1, 2, 3)",bit/B35.mp4,2,.,
22,Direct,LIE,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",bit/B10.mp4,4,.,
6,Direct,TRUTH,What CCA (Co-curricular Activity) did you join in secondary school?,bit/B40.mp4,choir,.,
6,Indirect,LIE,Were you in the Netball CCA during secondary school?,bit/B31.mp4,netball,.,
12,Direct,TRUTH,What was your favourite subject back in secondary school?,bit/B32.mp4,biology,.,
2,Direct,TRUTH,Which secondary school did you attend?,bit/B18.mp4,chung cheng high main,.,
10,Indirect,TRUTH,Do you hate eating White Rice the most?,bit/B14.mp4,white rice,.,
4,Direct,TRUTH,Who is your favourite teacher in secondary school?,bit/B17.mp4,ms low,.,
8,Indirect,LIE,Is your favourite food Sashimi?,bit/B27.mp4,not sashimi,/,
20,Indirect,LIE,Is your house on the 4th floor of the building?,bit/B20.mp4,do not live on 4th,/,
13,Direct,LIE,What is your dream job growing up?,bit/B12.mp4,teacher,.,
29,Direct,TRUTH,What brand of handphone do you use?,bit/B9.mp4,samsung,.,
28,Indirect,LIE,Is your religion Christianity?,bit/B4.mp4,buddhist,.,
15,Indirect,LIE,Are you from Singapore Polytechnic?,bit/B34.mp4,SP,.,
8,Indirect,TRUTH,Is your favourite food Pizza?,bit/B13.mp4,sashimi,.,
23,Indirect,TRUTH,Are you studying Sociology course in NTU?,bit/B7.mp4,biological sciences,.,
