item,style,condition,question,bitalino,,,
16,Direct,TRUTH,"How many siblings do you have? (Eg. 0, 1, 2, 3)",bit/B35.mp4,2,.,repeated twice
3,Indirect,LIE,Is Benjamin your closest friend back in secondary school?,bit/B38.mp4,benjamin,.,
20,Indirect,TRUTH,Is your house on the 6th floor of the building?,bit/B33.mp4,10,.,
12,Direct,TRUTH,What was your favourite subject back in secondary school?,bit/B7.mp4,math,X,
15,Indirect,LIE,Are you from Temasek Junior College?,bit/B4.mp4,temasek jc,.,
16,Indirect,LIE,Do you have 2 siblings?,bit/B27.mp4,1,.,
13,Indirect,LIE,Is your dream job a Doctor when you were growing up?,bit/B37.mp4,marine biologist,.,
28,Indirect,LIE,Is your religion Islam?,bit/B40.mp4,buddhism,.,
30,Direct,TRUTH,What brand of laptop do you mainly use?,bit/B26.mp4,microsoft,.,
15,Direct,TRUTH,Which polytechnic or junior college are you from?,bit/B19.mp4,sp,.,
10,Direct,LIE,What food do you hate the most?,bit/B15.mp4,pizza,.,
27,Indirect,LIE,Do you drink alcohol rarely?,bit/B12.mp4,almost everyday,.,
20,Indirect,LIE,Is your house on the 10th floor of the building?,bit/B10.mp4,2nd,.,
18,Direct,TRUTH,What was the last country you visited?,bit/B6.mp4,malaysia,.,
29,Indirect,TRUTH,Do you use a Samsung phone?,bit/B23.mp4,apple,.,
26,Direct,LIE,How often do you smoke?,bit/B30.mp4,almost everyday,.,
19,Indirect,TRUTH,Is the Admiralty station the closest MRT to your house?,bit/B9.mp4,marsiling,X,
28,Direct,TRUTH,What religion do you practice?,bit/B18.mp4,islam,.,
12,Indirect,LIE,Was your favourite subject Biology back in secondary school?,bit/B16.mp4,chemistry,.,
29,Direct,LIE,What brand of handphone do you use?,bit/B22.mp4,samsung,.,
9,Indirect,TRUTH,Is your favourite drink Milk?,bit/B2.mp4,milk,.,
23,Indirect,LIE,Are you studying Chemistry and Biological Chemistry course in NTU?,bit/B8.mp4,biological sciences,.,
27,Indirect,TRUTH,Do you not drink alcohol at all? ,bit/B5.mp4,don’t drink at all,.,
6,Direct,LIE,What CCA (Co-curricular Activity) did you join in secondary school?,bit/B3.mp4,volleyball,.,
9,Direct,LIE,What is your favourite drink?,bit/B21.mp4,coffee,.,
8,Indirect,LIE,Is your favourite food Pasta?,bit/B17.mp4,pizza,.,
21,Direct,TRUTH,"Which school in NTU are you from? (Eg. NBS, SSS, SOH)",bit/B29.mp4,spms,.,
19,Indirect,LIE,Is the Bedok station the closest MRT to your house?,bit/B24.mp4,bedok,.,
6,Indirect,TRUTH,Were you in the Robotics & IT CCA during secondary school?,bit/B36.mp4,robotics and IT,.,
21,Direct,LIE,"Which school in NTU are you from? (Eg. NBS, SSS, SOH)",bit/B28.mp4,sbs,.,
30,Indirect,LIE,Do you use a Asus laptop?,bit/B32.mp4,asus,.,
26,Direct,TRUTH,How often do you smoke?,bit/B31.mp4,do not smoke at all,.,
10,Indirect,TRUTH,Do you hate eating Bean Sprouts the most?,bit/B20.mp4,bean sprouts,.,
8,Indirect,TRUTH,Is your favourite food Pizza?,bit/B13.mp4,pasta,.,
13,Indirect,TRUTH,Is your dream job a Singer when you were growing up?,bit/B25.mp4,doctor,.,
18,Direct,LIE,What was the last country you visited?,bit/B1.mp4,korea,.,
22,Direct,LIE,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",bit/B34.mp4,4,.,
22,Direct,TRUTH,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",bit/B11.mp4,1,.,
3,Direct,TRUTH,Who is your closest friend back in secondary school?,bit/B14.mp4,sabrina,.,
23,Indirect,TRUTH,Are you studying Business course in NTU?,bit/B39.mp4,not sudying business,/,
