item,style,condition,question,bitalino,,,
16,Indirect,LIE,Do you have 3 siblings?,bit/B2.mp4,3,.,
29,Indirect,TRUTH,Do you use a Xiaomi phone?,bit/B37.mp4,xiaomi,.,
28,Direct,TRUTH,What religion do you practice?,bit/B6.mp4,buddhist,.,
26,Direct,LIE,How often do you smoke?,bit/B28.mp4,socially,.,
12,Indirect,LIE,Was your favourite subject English back in secondary school?,bit/B20.mp4,english,.,
2,Indirect,LIE,Are you from Teck Whye Secondary School?,bit/B21.mp4,unity pri,.,
3,Direct,LIE,Who is your closest friend back in secondary school?,bit/B15.mp4,elsthen,.,
18,Indirect,TRUTH,Was the last country you visited Canada?,bit/B29.mp4,malaysia,.,
8,Direct,LIE,What is your favourite food?,bit/B39.mp4,chicken rice,.,
1,Indirect,TRUTH,Are you from Teck Whye Primary School?,bit/B12.mp4,teck whye,.,
6,Direct,TRUTH,What CCA (Co-curricular Activity) did you join in secondary school?,bit/B34.mp4,boys bridage,.,
15,Direct,LIE,Which polytechnic or junior college are you from?,bit/B1.mp4,SP,.,
23,Direct,TRUTH,What course are you studying?,bit/B23.mp4,maritime studies,.,
27,Direct,TRUTH,How frequently do you drink alcohol?,bit/B7.mp4,socially,.,
4,Direct,TRUTH,Who is your favourite teacher in secondary school?,bit/B3.mp4,mr foo,.,
29,Indirect,LIE,Do you use a Apple phone?,bit/B4.mp4,iphone,.,
2,Indirect,TRUTH,Are you from Yishun Secondary School?,bit/B32.mp4,teck whye,.,
3,Direct,TRUTH,Who is your closest friend back in secondary school?,bit/B27.mp4,soon keat,.,
18,Direct,LIE,What was the last country you visited?,bit/B25.mp4,thailand,.,
21,Direct,LIE,"Which school in NTU are you from? (Eg. NBS, SSS, SOH)",bit/B38.mp4,NBS,.,
1,Direct,LIE,Which primary school are you from?,bit/B24.mp4,unity pri,.,
27,Indirect,LIE,Do you drink alcohol socially?,bit/B35.mp4,twice a day,/,
15,Indirect,TRUTH,Are you from Temasek Junior College?,bit/B16.mp4,RP,.,
22,Direct,LIE,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",bit/B9.mp4,2,.,
23,Indirect,LIE,Are you studying Chemistry course in NTU?,bit/B36.mp4,chemistry,.,
26,Indirect,TRUTH,Do you smoke regularly?,bit/B17.mp4,do not smoke at all,.,
4,Indirect,LIE,Is Mr Foo your favourite teacher in secondary school?,bit/B13.mp4,mr Lim,.,
21,Indirect,TRUTH,Are you from School of Civil Engineering in NTU?,bit/B11.mp4,civil engineering,./,
30,Direct,LIE,What brand of laptop do you mainly use?,bit/B5.mp4,hp,.,
19,Indirect,TRUTH,Is the Serangoon station the closest MRT to your house?,bit/B33.mp4,serangoon,X,
20,Direct,LIE,Which floor of the building is your house on?,bit/B22.mp4,7th,.,
12,Direct,TRUTH,What was your favourite subject back in secondary school?,bit/B8.mp4,math,.,
19,Indirect,LIE,Is the Chua Chu Kang station the closest MRT to your house?,bit/B40.mp4,bukit panjang,.,
28,Indirect,LIE,Is your religion Catholicism?,bit/B14.mp4,catholic,.,
16,Indirect,TRUTH,Do you have 1 sibling?,bit/B19.mp4,1,.,
20,Direct,TRUTH,Which floor of the building is your house on?,bit/B18.mp4,6,.,
22,Indirect,TRUTH,Are you in your 1st year in NTU?,bit/B30.mp4,1,.,
8,Indirect,TRUTH,Do you like all food equally?,bit/B26.mp4,equally,.,stutter
6,Indirect,LIE,Were you in the Boy's Brigade CCA during secondary school?,bit/B10.mp4,badminton,.,
30,Direct,TRUTH,What brand of laptop do you mainly use?,bit/B31.mp4,asus,.,
