Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID 026,,,,,,,,,,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
1,images/4,b,a,images/3,cognitive,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
1,images/4,b,a,images/3,cognitive,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,67.31224969401956,None,-0.3287037037037037,0.12222222222222222,1,0,0,3.60028397385031,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
2,images/5,a,b,images/28,physical,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,70.94508383842185,None,-0.3287037037037037,0.12222222222222222,1,0,0,2.3945360369980335,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
3,images/6,a,c,images/61,affect,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,73.3776544756256,None,-0.3287037037037037,0.12222222222222222,1,0,0,2.902029008138925,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
4,images/7,d,None,None,affect,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,76.31120772939175,None,-0.3,-0.3972222222222222,1,0,0,3.438097734004259,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
5,images/8,b,None,None,cognitive,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,79.77761238627136,None,0.44537037037037036,0.17962962962962964,1,0,0,2.195727366954088,b,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
6,images/9,b,None,None,physical,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,81.9942152989097,None,0.43148148148148147,0.08703703703703704,1,0,0,2.4270489937625825,b,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
7,images/10,c,None,None,physical,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,84.44377368316054,None,0.41759259259259257,-0.41203703703703703,1,0,0,2.3282724684104323,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
8,images/11,c,None,None,cognitive,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,86.81000696774572,None,0.4027777777777778,-0.36018518518518516,1,0,0,1.8250512965023518,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
9,images/12,d,None,None,affect,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,88.65980107709765,None,-0.21296296296296297,-0.3768518518518518,1,0,0,1.6968636475503445,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
10,images/13,d,None,None,cognitive,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,90.39300805702806,None,-0.3,-0.41759259259259257,1,0,0,1.762565170880407,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
11,images/14,c,None,None,physical,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,92.19300600374117,None,0.4101851851851852,-0.3888888888888889,1,0,0,2.0073097930289805,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
12,images/15,a,None,None,affect,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,94.20928862784058,None,-0.37407407407407406,0.17407407407407408,1,0,0,1.7596535724587739,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
13,images/16,b,None,None,affect,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,95.9925452042371,None,0.4546296296296296,0.17592592592592593,1,0,0,1.760674043558538,b,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
14,images/17,b,None,None,cognitive,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,97.79234970733523,None,0.3824074074074074,0.1685185185185185,1,0,0,1.8412954239174724,b,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
15,images/18,d,None,None,physical,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,99.64217044319957,None,-0.4564814814814815,-0.3972222222222222,1,0,0,1.324737231247127,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
16,images/19,b,None,None,physical,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,100.99158921418712,None,0.47129629629629627,0.15648148148148147,1,0,0,1.9601146928034723,b,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
17,images/20,c,None,None,affect,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,102.97466947743669,None,0.3990740740740741,-0.4203703703703704,1,0,0,1.8318715458735824,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
18,images/21,b,None,None,physical,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,104.82457618834451,None,0.5009259259259259,0.16203703703703703,1,0,0,1.5625579846091568,b,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
19,images/22,a,None,None,physical,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,106.42431255336851,None,-0.3509259259259259,0.06481481481481481,1,0,0,1.5039153881371021,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
20,images/23,d,None,None,affect,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,107.94092464074492,None,-0.3638888888888889,-0.3055555555555556,1,0,0,1.4988797595724463,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
21,images/24,d,None,None,cognitive,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,109.45736638270319,None,-0.33055555555555555,-0.34074074074074073,1,0,0,2.1321072070859373,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
22,images/25,a,None,None,cognitive,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,111.60717576229945,None,-0.33611111111111114,0.11018518518518519,1,0,0,2.0565240210853517,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
23,images/26,b,None,None,affect,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,113.70705199660733,None,0.37037037037037035,0.1425925925925926,1,0,0,1.4297761316411197,b,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
24,images/27,d,None,None,cognitive,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,115.15693471161649,None,-0.3037037037037037,-0.35462962962962963,1,0,0,1.6958011514507234,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
2,images/5,a,b,images/28,physical,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
25,images/29,b,None,None,affect,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,118.55706810113043,None,0.5361111111111111,0.1824074074074074,1,0,0,2.1645835926756263,b,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
26,images/30,b,None,None,affect,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,120.7400143975392,None,-0.4027777777777778,0.16574074074074074,1,0,0,5.892949671018869,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
27,images/31,d,None,None,affect,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,126.68957983888686,None,-0.4398148148148148,-0.24537037037037038,1,0,0,2.8297263430431485,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
28,images/32,b,None,None,affect,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,129.55591257242486,None,0.46111111111111114,0.05740740740740741,1,0,0,5.638424759730697,b,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
29,images/33,c,None,None,affect,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,135.20526224235073,None,-0.3990740740740741,0.175,1,0,0,6.693986695725471,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
30,images/34,d,None,None,affect,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,141.92129829805344,None,-0.42962962962962964,-0.24722222222222223,1,0,0,2.527494331356138,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
31,images/35,d,None,None,affect,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,144.47100591938943,None,-0.44537037037037036,-0.24166666666666667,1,0,0,2.7938664592802525,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
32,images/36,d,None,None,affect,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,147.3207480586134,None,-0.44907407407407407,-0.43425925925925923,1,0,0,3.6034929561428726,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
33,images/37,b,None,None,affect,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,150.9537044283934,None,0.43425925925925923,0.04259259259259259,1,0,0,5.140048658940941,b,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
34,images/38,b,None,None,affect,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,156.10318434424698,None,0.3925925925925926,-0.30185185185185187,1,0,0,9.057192251551896,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
35,images/39,c,None,None,affect,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,165.21897460147738,None,0.4101851851851852,-0.30185185185185187,1,0,0,3.0043609817512333,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
36,images/40,c,None,None,cognitive,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,168.2521060644649,None,0.4101851851851852,-0.30185185185185187,1,0,0,2.9990930929780006,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
37,images/41,a,None,None,affect,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,171.26835115486756,None,-0.45,-0.387037037037037,1,0,0,4.493239419534802,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
38,images/42,d,None,None,affect,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,175.784581808839,None,-0.42685185185185187,-0.32037037037037036,1,0,0,6.937177032697946,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
39,images/43,a,None,None,affect,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,182.7505877087824,None,-0.39537037037037037,0.14166666666666666,1,0,0,7.965649168007076,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
40,images/44,d,None,None,cognitive,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,190.73281431850046,None,-0.3962962962962963,-0.3787037037037037,1,0,0,5.194279267452657,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
41,images/45,d,None,None,affect,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,195.94925522617996,None,-0.3861111111111111,-0.37037037037037035,1,0,0,4.294720754493028,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
42,images/46,c,None,None,affect,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,200.26526632299647,None,-0.36666666666666664,0.22777777777777777,1,0,0,4.025261871051043,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
43,images/47,b,None,None,affect,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,204.3150114780292,None,0.5027777777777778,0.1388888888888889,1,0,0,6.125715228263289,b,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
44,images/48,a,None,None,affect,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,210.4643078953959,None,-0.4166666666666667,0.1425925925925926,1,0,0,5.762179887853563,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
45,images/49,a,None,None,affect,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,216.2471406920813,None,-0.4166666666666667,0.1425925925925926,1,0,0,3.824684619437903,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
46,images/50,d,None,None,affect,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,220.09677953319624,None,-0.3972222222222222,-0.25,1,0,0,3.571894605178386,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
47,images/51,c,None,None,affect,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,223.67985216155648,None,0.49907407407407406,-0.37592592592592594,1,0,0,4.160363764036447,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
48,images/52,c,None,None,affect,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,227.862718898803,None,0.5333333333333333,-0.32314814814814813,1,0,0,4.559716641902924,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
49,images/53,d,None,None,affect,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,232.44557819422334,None,0.42592592592592593,-0.32685185185185184,1,0,0,3.893738202750683,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
50,images/54,c,None,None,affect,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,236.36159256333485,None,0.39444444444444443,-0.35555555555555557,1,0,0,2.8657315503805876,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
51,images/55,a,None,None,affect,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,239.24488256685436,None,0.475,-0.2712962962962963,1,0,0,4.491278999019414,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
52,images/56,c,None,None,affect,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,243.74442253727466,None,0.41759259259259257,-0.32222222222222224,1,0,0,3.5912280553020537,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
53,images/57,d,None,None,affect,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,247.3607010548003,None,-0.337037037037037,-0.37222222222222223,1,0,0,2.8939156057313085,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
54,images/58,d,None,None,cognitive,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,250.2770856297575,None,-0.4287037037037037,-0.4101851851851852,1,0,0,4.2266469011083245,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
55,images/59,b,None,None,cognitive,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,254.52651909319684,None,0.5277777777777778,0.10277777777777777,1,0,0,2.8069474794901907,b,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
56,images/60,b,None,None,affect,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,257.34319392964244,None,-0.40925925925925927,0.18611111111111112,1,0,0,2.9033452584408224,a,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
3,images/6,a,c,images/61,affect,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
57,images/62,c,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,263.9424830968492,None,0.4638888888888889,-0.3175925925925926,1,0,0,3.794464754872024,c,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
58,images/63,d,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,267.77535169478506,None,-0.32037037037037036,-0.337037037037037,1,0,0,3.7991738063283265,d,026,001,2021_Feb_22_0953,untitled,2020.2.10,60.02245183808608,
