"ID","HCT_Confidence","HCT_Accuracy","HCT_Awareness"
1,0.360740740740741,0.75130691069389,-0.775236333122807
2,0.170740740740741,0.657568185846362,0.80245743497113
3,NA,0.744511285450619,NA
4,0.753333333333333,0.473442879499217,0.821287976033798
5,0.583333333333333,0.606780500898148,-0.103364366783785
6,0.8881481484,0.0682295482295483,-0.689989743878782
7,0.57537037037037,0.737231041381985,0.132712475838818
8,0.243148148148148,0.688923409239822,-0.280400059371742
9,0.5537037036,0.647548699845235,-0.561997952288454
10,0.6681481484,0.594465645815997,-0.634336699956734
11,0.5314814816,0.584937304075235,-0.482140891704157
12,0.865,0.87810011762049,0.460693339364094
13,0.1042592592,0.178853926561244,0.878798522418724
14,0.130925925925926,0.767302931449273,-0.841368912664341
15,0.813148148148148,0.737970881577439,-0.0546993293893305
16,0.646111111111111,0.807801834702839,-0.318966232100844
17,0.253703703703704,0.525614151055054,-0.529509603748237
18,0.43037037037037,0.599360089720055,0.445086562945105
19,NA,0.702299617966693,NA
20,0.4018518518,0.768574437398117,0.727562050894115
21,0.168888888888889,0.759514216060185,0.438574898677612
22,0.773518518518518,0.755684975997719,-0.697478960932275
23,NA,0.642883224731207,NA
24,0.106666666666666,0.428894781868239,0.634236619774877
25,0.673888888888889,0.394441619731424,-0.519493655947889
26,0.747962962962963,0.773290042443327,0.786176146390982
27,0.175925926,0.207884156615451,0.50513851788847
28,0.571111111,0.76889626627067,-0.761611290286744
29,0.867407407407407,0.799231950844854,-0.189817907526613
30,0.824814814814815,0.598052176445958,-0.396850557526284
