item,style,condition,question,respond,video,bitalino,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Trialsloop.thisRepN,Trialsloop.thisTrialN,Trialsloop.thisN,Trialsloop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,IDRESPONSE.text,sensor2.started,sensor2.stopped,sensor3.started,sensor3.stopped,sensor.started,sensor.stopped,sensor4.started,sensor4.stopped,textsubjresp.started,textsubjresp.stopped,SubjectiveResponse.response,SubjectiveResponse.rt,SubjectiveResponse.started,SubjectiveResponse.stopped,textsubjcon.started,textsubjcon.stopped,sensor5.started,sensor5.stopped,sensor1.started,sensor1.stopped,sensor6.started,sensor6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
16,Direct,TRUTH,"How many siblings do you have? (Eg. 0, 1, 2, 3)",,video/V16.mp4,,,,,,,,,,0,6,6,6,,,,,,204.13929573679343,204.63924280460924,205.68932961346582,206.18910569371656,209.23875781614333,209.75552517175674,211.1220061155036,211.6219073086977,213.63881774200127,None,0.9731481481481481,5.88219350297004,213.63881774200127,None,213.63881774200127,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
20,Direct,LIE,Which floor of the building is your house on?,,video/V35.mp4,,,,,,,,,,0,7,7,7,,,,,,220.12127885781229,220.6547827720642,221.50488549284637,222.0045701446943,225.1708809346892,225.70435982663184,227.27065932471305,227.7706198664382,229.1369882086292,None,0.040740740740740744,5.132332730572671,229.1369882086292,None,229.1369882086292,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
27,Indirect,LIE,Do you drink alcohol frequently?,,video/V40.mp4,,,,,,,,,,0,8,8,8,,,,,,235.0699059534818,235.60344772273675,240.4865022576414,240.98606532532722,243.60251835919917,244.13611434400082,245.93572379974648,246.43551656138152,247.852119281888,None,0.006481481481481477,2.1845541559159756,247.852119281888,None,247.852119281888,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
28,Direct,LIE,What religion do you practice?,,video/V12.mp4,,,,,,,,,,0,9,9,9,,,,,,250.7347927042283,251.2517435583286,252.3681972338818,252.8681539259851,255.63468132168055,256.16786058433354,257.73447607271373,258.234424744267,259.66760458471254,None,0.015740740740740722,3.6665302189067006,259.66760458471254,None,259.66760458471254,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
23,Indirect,TRUTH,Are you studying Sociology course in NTU?,,video/V29.mp4,,,,,,,,,,0,10,10,10,,,,,,263.96679122326896,264.4665881553665,267.24983350373805,267.74998780945316,270.69988463958725,271.2331319125369,273.3329135105014,273.8326764376834,275.4326267777942,None,0.03888888888888886,2.383758374489844,275.4326267777942,None,275.4326267777942,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
30,Indirect,TRUTH,Do you use a Lenovo laptop?,,video/V28.mp4,,,,,,,,,,0,11,11,11,,,,,,279.0988724450581,279.615605795756,282.3319180617109,282.84852245030925,286.01470941118896,286.5482091549784,288.1812685020268,288.68121300358325,289.7648095013574,None,0.9759259259259259,2.6663210559636354,289.7648095013574,None,289.7648095013574,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
6,Direct,LIE,What CCA (Co-curricular Activity) did you join in secondary school?,,video/V27.mp4,,,,,,,,,,0,12,12,12,,,,,,293.01433407282457,293.5475620976649,299.7135751834139,300.21347990538925,302.6799981263466,303.2132909530774,304.5797555358149,305.09647028008476,306.46305869240314,None,0.007407407407407418,2.7160347723402083,306.46305869240314,None,306.46305869240314,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
3,Direct,TRUTH,Who is your closest friend back in secondary school?,,video/V32.mp4,,,,,,,,,,0,13,13,13,,,,,,310.1458872547373,310.67891189083457,311.74573557963595,312.24557453673333,314.845329829026,315.3784006610513,317.1453300216235,317.6451077060774,319.0950895487331,None,0.9916666666666667,2.350172655656934,319.0950895487331,None,319.0950895487331,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
25,Indirect,TRUTH,Is your dad 51 years old this year?,,video/V30.mp4,,,,,,,,,,0,14,14,14,,,,,,321.9947789479047,322.51129383267835,324.64402467850596,325.14449850283563,328.1774201616645,328.7105211489834,331.67699060821906,332.1769174654037,333.6266593481414,None,0.9722222222222222,2.2498857947066426,333.6266593481414,None,333.6266593481414,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
22,Direct,LIE,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",,video/V8.mp4,,,,,,,,,,0,15,15,15,,,,,,337.6595729868859,338.1926717283204,340.7427460262552,341.2595060034655,343.9586518360302,344.4925557905808,345.79237312590703,346.2921049352735,348.02534239180386,None,0.0222222222222222,2.0502225081436336,348.02534239180386,None,348.02534239180386,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
