item,style,condition,question,respond,video,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Trialsloop.thisRepN,Trialsloop.thisTrialN,Trialsloop.thisN,Trialsloop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,IDRESPONSE.text,sensor2.started,sensor2.stopped,sensor3.started,sensor3.stopped,sensor.started,sensor.stopped,sensor4.started,sensor4.stopped,textsubjresp.started,textsubjresp.stopped,SubjectiveResponse.response,SubjectiveResponse.rt,SubjectiveResponse.started,SubjectiveResponse.stopped,textsubjcon.started,textsubjcon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
27,Indirect,LIE,Do you drink alcohol frequently?,,video/V40.mp4,,,,,,,,,0,8,8,8,,433.0910830530338,433.6240788171999,442.67351568164304,443.173338919878,446.30633025662974,446.83988646185026,448.6730412156321,449.17292636819184,450.6059916825034,None,0.04907407407407405,2.650694471783936,450.6059916825034,None,450.6059916825034,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
28,Direct,LIE,What religion do you practice?,,video/V12.mp4,,,,,,,,,0,9,9,9,,459.77178983110934,460.3050255551934,468.6206632386893,469.12055320385844,471.8036088938825,472.3371699107811,474.1037768656388,474.60348269017413,475.87005916889757,None,0.04629629629629628,2.383101051207632,475.87005916889757,None,475.87005916889757,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
23,Indirect,TRUTH,Are you studying Sociology course in NTU?,,video/V29.mp4,,,,,,,,,0,10,10,10,,481.96960273198783,482.4693749626167,487.1856442410499,487.68540877243504,490.85166021436453,491.3847153270617,493.284881117288,493.78477429039776,495.41795105068013,None,0.9805555555555556,2.0833427435718477,495.41795105068013,None,495.41795105068013,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
30,Indirect,TRUTH,Do you use a Lenovo laptop?,,video/V28.mp4,,,,,,,,,0,11,11,11,,501.4508419125341,501.96741774957627,503.30077396705747,503.8008900973946,507.03339195484295,507.5671159392223,509.299922558479,509.8166312072426,511.54981316486374,None,0.9722222222222222,3.6842657546512783,511.54981316486374,None,511.54981316486374,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
6,Direct,LIE,What CCA (Co-curricular Activity) did you join in secondary school?,,video/V27.mp4,,,,,,,,,0,12,12,12,,516.2158503113315,516.7157649779692,527.1149558513425,527.6148284929805,530.814547277987,531.3477034429088,533.1474386532791,533.6473639062606,535.5143757774495,None,0.03888888888888886,1.8492420092225075,535.5143757774495,None,535.5143757774495,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
3,Direct,TRUTH,Who is your closest friend back in secondary school?,,video/V32.mp4,,,,,,,,,0,13,13,13,,538.6139247938991,539.1471252297051,548.179747580085,548.6791922720149,551.9456327306107,552.4625794147141,554.4288015351631,554.9287162018009,556.1121834809892,None,0.9796296296296296,2.067028359975666,556.1121834809892,None,556.1121834809892,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
25,Indirect,TRUTH,Is your dad 51 years old this year?,,video/V30.mp4,,,,,,,,,0,14,14,14,,560.0783318169415,560.59488327289,562.8614190099761,563.361417405773,565.8442759951577,566.3775521400385,568.4775028005242,568.9773526652716,570.8274749550037,None,0.9675925925925926,2.0995355430059135,570.8274749550037,None,570.8274749550037,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
22,Direct,LIE,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",,video/V8.mp4,,,,,,,,,0,15,15,15,,574.3270514965989,574.8601964334957,577.5599206723273,578.0600538048893,581.1590523254126,581.6924372222275,583.325980017893,583.8259171405807,585.6426429846324,None,0.04629629629629628,3.1499059409834445,585.6426429846324,None,585.6426429846324,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
22,Indirect,TRUTH,Are you in your 1st year in NTU?,,video/V26.mp4,,,,,,,,,0,16,16,16,,589.7750860713422,590.2751329084858,592.6419147644192,593.1417283783667,595.9078608672135,596.441544751171,598.1077769449912,598.6077929851599,600.007641502656,None,0.962037037037037,1.7655569701455534,600.007641502656,None,600.007641502656,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
20,Direct,TRUTH,Which floor of the building is your house on?,,video/V25.mp4,,,,,,,,,0,17,17,17,,603.7740078559145,604.2907197130844,608.8735177344643,609.3732893238775,612.3899739123881,612.9231121125631,614.7230298588984,615.222858871799,616.6559334890917,None,1,2.716806622222066,616.6559334890917,None,616.6559334890917,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
2,Indirect,TRUTH,Are you from Jurong Secondary School?,,video/V11.mp4,,,,,,,,,0,18,18,18,,621.1388995465823,621.6553149828687,623.8052690438926,624.3051047930494,626.9213698371314,627.4548974912614,628.987918919418,629.4878175458871,630.921358929947,None,0.9962962962962962,2.567139357794076,630.921358929947,None,630.921358929947,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
