Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
68,images/73,a,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,278.28136191982776,None,-0.4222222222222222,0.05740740740740741,1,0,0,7.4921271991916,a,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
69,images/74,c,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,285.79737635329366,None,0.5305555555555556,-0.44074074074074077,1,0,0,5.2047691703774035,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
70,images/75,d,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,291.01325874449685,None,-0.44074074074074077,-0.3574074074074074,1,0,0,3.9595269840210676,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
71,images/76,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,294.99634061194956,None,0.43333333333333335,0.06666666666666667,1,0,0,4.0937874130904675,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
72,images/77,a,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,299.11242857342586,None,-0.4537037037037037,0.15555555555555556,1,0,0,4.026671153958887,a,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
73,images/78,b,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,303.16233348753303,None,0.4425925925925926,0.2175925925925926,1,0,0,3.2929576272144914,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
74,images/79,a,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,306.46184349479154,None,-0.3435185185185185,0.08981481481481482,1,0,0,9.323301321826875,a,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
75,images/80,b,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,18,18,18,,315.8109915088862,None,0.5296296296296297,0.15833333333333333,1,0,0,7.6600570771843195,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
76,images/81,a,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,323.493518196512,None,-0.45185185185185184,0.16203703703703703,1,0,0,5.27223093342036,a,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
77,images/82,d,None,None,physical,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,328.7764263818972,None,-0.42685185185185187,-0.2935185185185185,1,0,0,2.828276318497956,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
78,images/83,d,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,331.6261325911619,None,-0.3907407407407407,-0.37777777777777777,1,0,0,4.503756270278245,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
79,images/84,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,336.142273100093,None,0.46296296296296297,0.18611111111111112,1,0,0,3.2039354061707854,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
80,images/85,c,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,339.35869315546006,None,0.462037037037037,-0.4203703703703704,1,0,0,5.227057527285069,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
