Item,pic,correct,part,partimg,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
22,images/25,a,None,None,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,59.25089991700952,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.31110295800317544,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
23,images/26,b,None,None,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,59.56718991699745,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.12733587498951238,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
24,images/27,d,None,None,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,59.7012849169987,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.29283770799520425,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
2,images/5,a,b,images/28,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
25,images/29,b,None,None,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,60.15921275000437,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.18450687499716878,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
26,images/30,b,None,None,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,60.35110212500149,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.3444517919997452,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
27,images/31,d,None,None,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,60.70202062500175,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.17587020799692255,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
28,images/32,b,None,None,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,60.88427437499922,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.19384304199775215,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
29,images/33,c,None,None,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,61.08440370800963,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.24427737499354407,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
30,images/34,d,None,None,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,61.33644658300909,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.14196691699908115,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
31,images/35,d,None,None,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,61.48485333300778,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.16032187499513384,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
32,images/36,d,None,None,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,61.65218916699814,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.2252246669959277,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
33,images/37,b,None,None,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,61.884340208009235,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.11014191700087395,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
34,images/38,b,None,None,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,62.0006389170012,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.2946188749920111,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
35,images/39,c,None,None,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,62.30161408300046,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.1932551659992896,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
36,images/40,c,None,None,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,62.501433292010915,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.24339500001224224,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
37,images/41,a,None,None,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,62.7523807920079,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.2590551670000423,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
38,images/42,d,None,None,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,63.01856700000644,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.2257825840060832,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
39,images/43,a,None,None,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,63.25020024999685,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.11080087500158697,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
40,images/44,d,None,None,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,63.369111833002535,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.10985449999861885,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
41,images/45,d,None,None,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,63.48560383300355,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.2091647500055842,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
42,images/46,c,None,None,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,63.7009881670092,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.3940539169998374,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
43,images/47,b,None,None,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,64.10257650000858,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.5429169169947272,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
44,images/48,a,None,None,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,64.65318187500816,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.2254313749872381,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
45,images/49,a,None,None,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,64.88484425000206,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.16002820900757797,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
46,images/50,d,None,None,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,65.05225683300523,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.10869087500032037,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
47,images/51,c,None,None,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,65.16767412499757,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.31085879099555314,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
48,images/52,c,None,None,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,65.48612429200148,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.15889429100207053,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
49,images/53,d,None,None,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,65.65232291699795,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.22606208400975447,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
50,images/54,c,None,None,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,65.8844338330091,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.10996662499383092,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
51,images/55,a,None,None,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,66.00072483300755,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.21051683400582988,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
52,images/56,c,None,None,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,66.21842491700954,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.12620912499551196,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
53,images/57,d,None,None,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,66.35088341700612,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.1603953339945292,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
54,images/58,d,None,None,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,66.51760625001043,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.2774720419984078,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
55,images/59,b,None,None,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,66.80217729200376,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.47641095900326036,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
56,images/60,b,None,None,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,67.2864871250058,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.6098214590019779,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
3,images/6,a,c,images/61,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
57,images/62,c,None,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,68.12859600000957,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.18171974999131635,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
