Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
21,images/24,d,None,None,cognitive,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,41.493847458972596,None,0.35333333333333333,-0.2544444444444444,1,0,0,0.1784627090091817,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
22,images/25,a,None,None,cognitive,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,41.67753270897083,None,-0.31444444444444447,0.15777777777777777,1,0,0,0.7440830420237035,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
23,images/26,b,None,None,affect,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,42.42897045897553,None,-0.31444444444444447,0.15777777777777777,1,0,0,0.1251662090071477,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
24,images/27,d,None,None,cognitive,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,42.560569916968234,None,-0.31444444444444447,0.15777777777777777,1,0,0,0.14328841702081263,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
2,images/5,a,b,images/28,physical,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
25,images/29,b,None,None,affect,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,42.88648299995111,None,-0.31444444444444447,0.15777777777777777,1,0,0,0.1503588340128772,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
26,images/30,b,None,None,affect,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,43.043430874997284,None,0.62,0.17666666666666667,1,0,0,0.4108561250031926,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
27,images/31,d,None,None,affect,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,43.46231795899803,None,0.62,0.17666666666666667,1,0,0,0.17633087502326816,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
28,images/32,b,None,None,affect,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,43.64461779198609,None,0.62,0.17666666666666667,1,0,0,0.14259775000391528,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
29,images/33,c,None,None,affect,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,43.79376724996837,None,0.62,0.17777777777777778,1,0,0,0.49428808299126104,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
30,images/34,d,None,None,affect,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,44.29487337497994,None,0.62,0.17777777777777778,1,0,0,0.1598672920372337,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
31,images/35,d,None,None,affect,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,44.46093012497295,None,0.5588888888888889,-0.28444444444444444,1,0,0,0.510276791988872,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
32,images/36,d,None,None,affect,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,44.977389041974675,None,0.5588888888888889,-0.28444444444444444,1,0,0,0.14368379197549075,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
33,images/37,b,None,None,affect,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,45.127377833996434,None,0.5588888888888889,-0.28444444444444444,1,0,0,0.1931442089844495,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
34,images/38,b,None,None,affect,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,45.32741162495222,None,0.5588888888888889,-0.28444444444444444,1,0,0,0.1613346670055762,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
35,images/39,c,None,None,affect,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,45.49414991697995,None,-0.35333333333333333,-0.2544444444444444,1,0,0,1.1274646249949,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
36,images/40,c,None,None,cognitive,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,46.62894987495383,None,-0.35333333333333333,-0.2544444444444444,1,0,0,0.1257797500002198,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
37,images/41,a,None,None,affect,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,46.761861333972774,None,-0.35333333333333333,-0.2544444444444444,1,0,0,0.15961633302504197,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
38,images/42,d,None,None,affect,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,46.92790358397178,None,-0.35333333333333333,-0.2544444444444444,1,0,0,0.17614333401434124,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
39,images/43,a,None,None,affect,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,47.11042604199611,None,-0.38333333333333336,0.20777777777777778,1,0,0,0.5273097499739379,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
40,images/44,d,None,None,cognitive,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,47.64390949998051,None,-0.38333333333333336,0.20777777777777778,1,0,0,0.14401445898693055,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
41,images/45,d,None,None,affect,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,47.794046416995116,None,-0.38333333333333336,0.20777777777777778,1,0,0,0.16005691699683666,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
42,images/46,c,None,None,affect,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,47.960439374961425,None,-0.38333333333333336,0.20777777777777778,1,0,0,0.1442771659931168,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
43,images/47,b,None,None,affect,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,48.1106811669888,None,0.4633333333333333,0.12666666666666668,1,0,0,0.6277965409681201,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
44,images/48,a,None,None,affect,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,48.74550083396025,None,0.4633333333333333,0.12666666666666668,1,0,0,0.14273545803735033,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
45,images/49,a,None,None,affect,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,48.894087166991085,None,0.4633333333333333,0.12666666666666668,1,0,0,0.14360583300003782,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
46,images/50,d,None,None,affect,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,49.04447645897744,None,0.4633333333333333,0.12666666666666668,1,0,0,0.09321679105050862,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
47,images/51,c,None,None,affect,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,49.14402599999448,None,0.4633333333333333,0.12666666666666668,1,0,0,0.17658762499922886,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
48,images/52,c,None,None,affect,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,49.32743862498319,None,0.45666666666666667,-0.2833333333333333,1,0,0,1.1951874169753864,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
49,images/53,d,None,None,affect,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,50.52975166699616,None,0.45666666666666667,-0.2833333333333333,1,0,0,0.12473029101965949,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
50,images/54,c,None,None,affect,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,50.66160245897481,None,0.45666666666666667,-0.2833333333333333,1,0,0,0.14295479201246053,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
51,images/55,a,None,None,affect,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,50.810865749954246,None,0.45666666666666667,-0.2833333333333333,1,0,0,0.16044887504540384,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
52,images/56,c,None,None,affect,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,50.976910916971974,None,0.45666666666666667,-0.2833333333333333,1,0,0,0.12669562501832843,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
53,images/57,d,None,None,affect,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,51.11053649999667,None,-0.4666666666666667,-0.18,1,0,0,0.6105552079970948,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
54,images/58,d,None,None,cognitive,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,51.72732045897283,None,-0.4666666666666667,-0.18,1,0,0,0.161151125037577,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
55,images/59,b,None,None,cognitive,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,51.8947353749536,None,-0.4666666666666667,-0.18,1,0,0,0.15989504201570526,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
56,images/60,b,None,None,affect,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,52.06073004199425,None,-0.4666666666666667,-0.18,1,0,0,0.1441761249443516,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
3,images/6,a,c,images/61,affect,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
57,images/62,c,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,52.38654279196635,None,-0.5044444444444445,0.14,1,0,0,0.48413900000741705,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
58,images/63,d,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,52.87928824999835,None,-0.5044444444444445,0.14,1,0,0,0.14228812500368804,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
59,images/64,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,53.028313166985754,None,-0.5044444444444445,0.14,1,0,0,0.14279654202982783,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
60,images/65,c,None,None,physical,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,53.17748437495902,None,-0.5044444444444445,0.14,1,0,0,0.1267156249959953,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
61,images/66,a,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,53.3105543749989,None,0.5111111111111111,0.14222222222222222,1,0,0,0.5796070839860477,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
62,images/67,b,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,53.896333541953936,None,0.5111111111111111,0.14222222222222222,1,0,0,0.1913443339872174,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
63,images/68,d,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,54.095689874957316,None,0.5066666666666667,0.14,1,0,0,0.759003458020743,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
64,images/69,a,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,54.86081237497274,None,0.5066666666666667,0.14222222222222222,1,0,0,0.3435600000084378,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
65,images/70,a,None,None,physical,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,55.210410541971214,None,0.5066666666666667,0.13777777777777778,1,0,0,0.16072379099205136,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
66,images/71,a,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,55.37791791697964,None,0.49,-0.24444444444444444,1,0,0,0.5435442500165664,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
67,images/72,c,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,55.928590083960444,None,0.49,-0.24444444444444444,1,0,0,0.14336962497327477,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
68,images/73,a,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,56.07778024999425,None,0.49,-0.24444444444444444,1,0,0,0.12634466600138694,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
69,images/74,c,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,56.211566624988336,None,0.49,-0.24444444444444444,1,0,0,0.29291841702070087,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
70,images/75,d,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,56.510894499951974,None,0.49,-0.24444444444444444,1,0,0,0.17642099998192862,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
71,images/76,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,56.693147416983265,None,-0.3277777777777778,-0.24333333333333335,1,0,0,0.7117771250195801,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
72,images/77,a,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,57.41209399997024,None,-0.3277777777777778,-0.24333333333333335,1,0,0,0.1415101250167936,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
73,images/78,b,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,57.560784375004005,None,-0.3288888888888889,-0.24333333333333335,1,0,0,0.4278401249903254,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
74,images/79,a,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,57.9945636249613,None,-0.3288888888888889,-0.24333333333333335,1,0,0,0.16068270802497864,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
75,images/80,b,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,18,18,18,,58.16102937498363,None,-0.3933333333333333,0.27,1,0,0,0.5937174999853596,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
76,images/81,a,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,58.76114862499526,None,-0.3933333333333333,0.27,1,0,0,0.14336091600125656,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
77,images/82,d,None,None,physical,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,58.91112883394817,None,-0.3933333333333333,0.27,1,0,0,0.1600442089838907,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
78,images/83,d,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,59.07677820895333,None,-0.3933333333333333,0.27,1,0,0,0.277566917007789,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
79,images/84,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,59.36070929199923,None,-0.3933333333333333,0.27,1,0,0,0.16093162499601021,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
80,images/85,c,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,59.52687983395299,None,0.5777777777777777,0.19,1,0,0,0.5455616669496521,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
81,images/86,a,None,None,physical,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,60.07933537499048,None,0.5777777777777777,0.19,1,0,0,0.12489362503401935,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
82,images/87,d,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,60.21060641697841,None,0.5777777777777777,0.19,1,0,0,0.16112491599051282,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
83,images/88,d,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,26,26,26,,60.376656499982346,None,0.5777777777777777,0.18666666666666668,1,0,0,0.1279182080179453,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
84,images/89,c,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,27,27,27,,60.51099116698606,None,0.5777777777777777,0.18666666666666668,1,0,0,0.1278893750277348,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
85,images/90,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,28,28,28,,60.64473766699666,None,0.5777777777777777,0.18666666666666668,1,0,0,0.20991716597927734,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
86,images/91,c,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,29,29,29,,60.86061679199338,None,0.5011111111111111,-0.5,1,0,0,0.9270189999951981,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
87,images/92,d,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,30,30,30,,62.26205624995055,None,0.5177777777777778,-0.3022222222222222,1,0,0,0.15939583303406835,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
88,images/93,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,31,31,31,,62.42732499999693,None,0.5177777777777778,-0.3022222222222222,1,0,0,0.1439733330043964,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
89,images/94,a,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,32,32,32,,62.577675249951426,None,0.5177777777777778,-0.3022222222222222,1,0,0,0.16103704198030755,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
90,images/95,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,33,33,33,,62.74390408396721,None,0.5177777777777778,-0.3022222222222222,1,0,0,0.1271011249627918,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
91,images/96,c,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,34,34,34,,62.87728066695854,None,0.5177777777777778,-0.3022222222222222,1,0,0,0.31073904095683247,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
92,images/97,c,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,35,35,35,,63.1948045839672,None,0.5177777777777778,-0.3022222222222222,1,0,0,0.1932820840156637,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
93,images/98,a,None,None,physical,,,,,,,,,,,,,,,,,,,,,0,36,36,36,,63.39434304198949,None,-0.5166666666666667,-0.24444444444444444,1,0,0,0.6603105000103824,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
94,images/99,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,37,37,37,,64.06124374998035,None,-0.5166666666666667,-0.24444444444444444,1,0,0,0.3432762920274399,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
95,images/100,d,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,38,38,38,,64.41097674996126,None,-0.5166666666666667,-0.24444444444444444,1,0,0,0.14360945799853653,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
96,images/101,c,None,None,physical,,,,,,,,,,,,,,,,,,,,,0,39,39,39,,64.56075270898873,None,-0.5166666666666667,-0.24444444444444444,1,0,0,0.1605860840063542,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
97,images/102,b,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,40,40,40,,64.72734441695502,None,-0.5166666666666667,-0.24444444444444444,1,0,0,0.12676195899257436,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
98,images/103,c,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,41,41,41,,64.86072458396666,None,-0.5166666666666667,-0.24444444444444444,1,0,0,0.16105787496780977,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
