StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3_1,Q4_1,Q5_1,Q6_1,Q7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please indicate your subject ID:,To what extend did you believe that there was a live examiner watching you during the social condition?,"If you did not believe that the examiner was real, how early or late did did you figure out that the live examiner was fake?",To what extend did you believe that you were watching your own live physiological signals during the polygraph condition ?,"If you did not believe that the signals was real, how early or late did you figure out that the physiological signals were not real?","Before we explained to you the true intentions of the study and what each conditions represented, did you suspect what we were trying to accomplish with it?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_TEXT""}"
18/2/21 20:45,18/2/21 20:46,IP Address,155.69.192.53,100,58,TRUE,18/2/21 20:46,R_3HjI9r3ockkU0M2,,,,,1.316497803,103.9231873,anonymous,EN,17,2,2,4,4,nope
18/2/21 22:09,18/2/21 22:10,IP Address,155.69.192.53,100,79,TRUE,18/2/21 22:10,R_b3Bdo13BnuOMJ6F,,,,,1.316497803,103.9231873,anonymous,EN,18,2,2,4,4,"no, not really"
19/2/21 0:01,19/2/21 0:03,IP Address,155.69.192.53,100,71,TRUE,19/2/21 0:03,R_OvfiNq8TVABNOrn,,,,,1.316497803,103.9231873,anonymous,EN,12,3,3,4,4,I suspected that there wasn't a live video examiner to assess our responses
19/2/21 2:07,19/2/21 2:09,IP Address,155.69.192.53,100,117,TRUE,19/2/21 2:09,R_1gSWCQcp1A9SmOv,,,,,1.316497803,103.9231873,anonymous,EN,14,3,3,4,4,"I thought my task was to deceive people/ the machine, but I learned that the experiment was trying to deceive me and convince that I was the one doing the deceiving."
21/2/21 19:23,21/2/21 19:25,IP Address,155.69.192.53,100,113,TRUE,21/2/21 19:25,R_3JxurWMcoBwAz5R,,,,,1.316497803,103.9231873,anonymous,EN,26,3,3,5,4,I suspected that the study was to find out how we'd try to improve our lying so as to fool the examiner and the graph
21/2/21 20:54,21/2/21 20:55,IP Address,155.69.192.53,100,60,TRUE,21/2/21 20:55,R_2Eo5KdNwCXY9UZX,,,,,1.316497803,103.9231873,anonymous,EN,27,4,3,5,4,i didn't think too much into it
21/2/21 22:12,21/2/21 22:13,IP Address,155.69.192.53,100,38,TRUE,21/2/21 22:13,R_122VwG4QiOfTRFm,,,,,1.316497803,103.9231873,anonymous,EN,24,4,4,5,4,no
22/2/21 0:23,22/2/21 0:25,IP Address,155.69.192.53,100,115,TRUE,22/2/21 0:25,R_rlpful70cZOqGgV,,,,,1.316497803,103.9231873,anonymous,EN,20,4,4,5,5,Yes because the title of the experiment presented various conditions even though I was doing the same thing
22/2/21 22:15,22/2/21 22:17,IP Address,155.69.192.53,100,91,TRUE,22/2/21 22:17,R_2b15VuWBZXjijEG,,,,,1.316497803,103.9231873,anonymous,EN,28,5,4,5,5,The correlation between facial expression and physiological state when lying or telling the truth
23/2/21 0:13,23/2/21 0:14,IP Address,155.69.192.53,100,82,TRUE,23/2/21 0:14,R_3fpAyGNC4g06u28,,,,,1.316497803,103.9231873,anonymous,EN,30,5,5,5,5,the live examiner has no sense of humor when i say something funny
23/2/21 23:24,23/2/21 23:25,IP Address,155.69.192.53,100,55,TRUE,23/2/21 23:25,R_1jBWAl0WvdDO0ro,,,,,1.316497803,103.9231873,anonymous,EN,25,5,5,6,5,nope
