item,style,condition,question,respond,video,bitalino,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Trialsloop.thisRepN,Trialsloop.thisTrialN,Trialsloop.thisN,Trialsloop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,IDRESPONSE.text,sensor2.started,sensor2.stopped,sensor3.started,sensor3.stopped,sensor.started,sensor.stopped,sensor4.started,sensor4.stopped,textsubjresp.started,textsubjresp.stopped,SubjectiveResponse.response,SubjectiveResponse.rt,SubjectiveResponse.started,SubjectiveResponse.stopped,textsubjcon.started,textsubjcon.stopped,sensor5.started,sensor5.stopped,sensor1.started,sensor1.stopped,sensor6.started,sensor6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,directx,TRUTH ,What is your favourite song?,"My favourite song is "Perfect" by Ed Sheeran",,,0,0,0,0,,,,,,,,,,,,,ID 029,,,,,,,,,,,,,,,,,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
2,indirectx,LIE,What is your favourite tv-show/tv-drama?,"My favourite drama is F.R.I.E.N.D.S",,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
3,directx,TRUTH ,Is George Washington your role model in life?,""No, my role model is Lee Kuan Yew"",,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
4,indirectx,LIE,Is MacDonalds your favourite restaurant?,""Yes, MacDonalds is my favourite restaurant"",,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
5,directx,TRUTH ,Who is your favourite celebrity?,"My favourite celebrity is Chris Hemsworth",,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
1,directx,TRUTH ,What is your favourite song?,"My favourite song is "Perfect" by Ed Sheeran",,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
2,indirectx,LIE,What is your favourite tv-show/tv-drama?,"My favourite drama is F.R.I.E.N.D.S",,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
3,directx,TRUTH ,Is George Washington your role model in life?,""No, my role model is Lee Kuan Yew"",,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
4,indirectx,LIE,Is MacDonalds your favourite restaurant?,""Yes, MacDonalds is my favourite restaurant"",,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
5,directx,TRUTH ,Who is your favourite celebrity?,"My favourite celebrity is Chris Hemsworth",,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
5,Indirect,TRUTH,Is your favourite country Germany?,,video/V4.mp4,,,,,,,,,,0,0,0,0,,,,,,313.55394156556576,314.0704230866395,322.5195297813043,323.01969820261,327.50197710236534,328.03556506708264,332.50178622547537,333.01863634819165,334.68525542877614,None,0.9981481481481482,5.184112411458045,334.68525542877614,None,334.68525542877614,None,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
15,Indirect,LIE,Are you from Yishun Junior College?,,video/V37.mp4,,,,,,,,,,0,1,1,1,,,,,,343.31737226014957,343.8507680641487,350.300116002094,350.8000560118817,353.93298671767116,354.4659731783904,357.26631919527426,357.7660715361126,358.9660344514996,None,1,3.3163928515277803,358.9660344514996,None,358.9660344514996,None,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
21,Indirect,TRUTH,Are you from School of Humanities in NTU?,,video/V7.mp4,,,,,,,,,,0,2,2,2,,,,,,364.3988607679494,364.91535287583247,370.0983277237974,370.5981958741322,373.7476138751954,374.2811155440286,377.0140334814787,377.5139526394196,379.48068034416065,None,0.9981481481481482,1.2657353361137211,379.48068034416065,None,379.48068034416065,None,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
21,Indirect,LIE,Are you from Nanyang Business School in NTU?,,video/V25.mp4,,,,,,,,,,0,3,3,3,,,,,,382.6967388559133,383.21359250694513,388.8628417663276,389.3628205936402,392.47917225398123,393.0124432663433,395.31232540355995,395.8119847117923,397.8290404686704,None,0,1.1815415043383837,397.8290404686704,None,397.8290404686704,None,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
7,Direct,LIE,What is your favourite sport?,,video/V21.mp4,,,,,,,,,,0,4,4,4,,,,,,400.89505541557446,401.4284146479331,404.11137345572934,404.61116012278944,407.57779222819954,408.1106279119849,410.64401505468413,411.1439592349343,412.66067622508854,None,0.9944444444444445,2.182753815315664,412.66067622508854,None,412.66067622508854,None,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
23,Direct,LIE,What course are you studying?,,video/V31.mp4,,,,,,,,,,0,5,5,5,,,,,,416.2601059032604,416.77693421114236,422.92633745539933,423.42620047321543,426.5422839433886,427.07568905036896,429.5421212967485,430.0422027804889,431.79209884023294,None,0.002777777777777768,0.7650000578723848,431.79209884023294,None,431.79209884023294,None,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
18,Indirect,LIE,Was the last country you visited Taiwan?,,video/V23.mp4,,,,,,,,,,0,6,6,6,,,,,,433.8750165211968,434.39175757113844,438.87462225556374,439.374473082833,442.65762251103297,443.1907738642767,446.3236458627507,446.8235954968259,447.8736085216515,None,0.9944444444444445,2.1675805249251425,447.8736085216515,None,447.8736085216515,None,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
26,Indirect,LIE,Do you not smoke at all? ,,video/V24.mp4,,,,,,,,,,0,7,7,7,,,,,,451.2398889642209,451.77330145007,455.30630395095795,455.80636650742963,459.07254070043564,459.60603370750323,462.03904961794615,462.5390387107618,464.3721370031126,None,1,1.615132292266935,464.3721370031126,None,464.3721370031126,None,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
8,Direct,LIE,What is your favourite food?,,video/V14.mp4,,,,,,,,,,0,8,8,8,,,,,,467.0218154950999,467.55510222679004,472.871292010881,473.3877132209018,476.520790212322,477.0543149788864,479.85388818383217,480.35369570273906,482.37033441709355,None,0,1.2649865839630365,482.37033441709355,None,482.37033441709355,None,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
26,Direct,TRUTH,How often do you smoke?,,video/V3.mp4,,,,,,,,,,0,9,9,9,,,,,,485.06996498117223,485.58671886334196,487.80284153530374,488.30273310421035,490.8363002166152,491.36931554973125,493.4690769375302,493.9687676844187,495.8522190512158,None,1,1.2482269275933504,495.8522190512158,None,495.8522190512158,None,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
3,Indirect,TRUTH,Is Benson your closest friend back in secondary school?,,video/V22.mp4,,,,,,,,,,0,10,10,10,,,,,,498.06884698662907,498.5851979414001,501.8684538756497,502.36822995590046,505.46790889743716,506.00133614009246,509.3340950240381,509.83417105441913,511.36749724438414,None,1,1.465345689561218,511.36749724438414,None,511.36749724438414,None,,,,,,,029,001,2021_Feb_18_0913,deception_task,2020.2.10,59.968872748542985,
