task,time,text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,idresponse.text,heartbeatresponse.text,confidenceslider.response,confidenceslider.rt,text_2.started,text_2.stopped,key_guess.keys,key_guess.rt,key_guess.started,key_guess.stopped,text_3.started,text_3.stopped,key_noguess.keys,key_noguess.rt,key_noguess.started,key_noguess.stopped,text_4.started,text_4.stopped,key_noguess_perturbed.keys,key_noguess_perturbed.rt,key_noguess_perturbed.started,key_noguess_perturbed.stopped,text_perturbed.started,text_perturbed.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Count30,30,+,0,0,0,2,ID 012,Enter Number  28,0.6666666666666666,3.583551264833659,,,,,,,,,,,,,,,,,,,,,012,001,2021_Feb_19_1445,Heartbeat,2020.2.10,59.87200425044004,
Count25,25,+,0,1,1,1,,26,0.862037037037037,2.446651918347925,,,,,,,,,,,,,,,,,,,,,012,001,2021_Feb_19_1445,Heartbeat,2020.2.10,59.87200425044004,
Count20,20,+,0,2,2,0,,23,0.9333333333333333,2.5141046992503107,,,,,,,,,,,,,,,,,,,,,012,001,2021_Feb_19_1445,Heartbeat,2020.2.10,59.87200425044004,
Count35,35,+,0,3,3,3,,40,0.9314814814814815,1.2810577997006476,,,,,,,,,,,,,,,,,,,,,012,001,2021_Feb_19_1445,Heartbeat,2020.2.10,59.87200425044004,
Count40,40,+,0,4,4,4,,50,0.9314814814814815,1.4146868912503123,,,,,,,,,,,,,,,,,,,,,012,001,2021_Feb_19_1445,Heartbeat,2020.2.10,59.87200425044004,
,,,,,,,,,,,288.19101029541343,None,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.1551455990411341, 2.394947304856032, 3.76287731109187, 4.9792797225527465, 6.26729667885229, 7.467006481252611, 8.603036454413086, 9.611060673836619, 10.419352313503623, 11.171046148054302, 11.955076498445123, 13.187285784631968, 14.947110023349524, 16.27514606108889, 17.53911634441465, 18.650956246536225, 19.947014103643596, 21.339259614702314, 22.747337664477527, 23.842886922415346, 25.14710020693019, 26.450998784974217, 27.78696408448741, 28.890969360712916, 30.482941676862538, 31.955139696598053, 33.22692439472303, 34.602962349541485, 35.85936202760786, 37.2829425111413, 38.45095162698999, 39.907516004983336, 41.19511142745614, 42.595004215370864, 43.93099036673084, 45.05094110453501, 46.258980529848486, 47.634928660001606, 49.011047777719796, 50.22718199854717, 51.44293093634769, 52.61097919009626, 53.94708885066211, 55.03518042527139, 56.23502271901816, 57.459000868722796, 58.61906436178833, 59.730984785128385]",330.43723445618525,None,,,,,,,,,,,,,,,012,001,2021_Feb_19_1445,Heartbeat,2020.2.10,59.87200425044004,
,,,,,,,,,,,391.4141408861615,None,,,,,330.43723445618525,None,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.8531362237408757, 2.1092677116394043, 3.1012505502440035, 3.9253153800964355, 4.709288627840579, 5.757295998744667, 6.845304485876113, 7.917072373908013, 8.99708808073774, 9.91710637928918, 10.773398010991514, 11.725151001475751, 12.741238256916404, 13.88521128660068, 14.781253167893738, 15.741111219394952, 16.765097902156413, 17.869454136118293, 18.924961535725743, 19.933139098342508, 21.317105994094163, 22.901286672335118, 24.30130874365568, 25.72509903134778, 26.877172952052206, 28.501255298033357, 29.789232153911144, 31.437072130385786, 33.40540448622778, 35.20489492453635, 36.1895179245621, 37.52527053235099, 39.44487852510065, 43.44509121682495, 46.21320337429643, 47.325057070702314, 48.317203518003225, 49.74918291717768, 53.349417166784406, 55.557073233649135, 57.78122108755633]",435.4430801095441,None,,,,,,,,,012,001,2021_Feb_19_1445,Heartbeat,2020.2.10,59.87200425044004,
,,,,,,,,,,,496.4203804843128,None,,,,,,,,,,,435.4430801095441,None,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.6977057531476021, 1.433498717378825, 2.377788250334561, 3.6016938984394073, 4.737515029963106, 5.945667698048055, 7.329671165440232, 8.529455714859068, 9.561874356120825, 10.777566191274673, 12.841589278541505, 14.241506126709282, 15.705486804246902, 17.137443747371435, 18.27361230738461, 19.865488382522017, 21.52129964577034, 23.065650515723974, 24.305449655279517, 26.52965717855841, 27.457638102117926, 28.217490892391652, 29.297473235521466, 30.313530335668474, 31.75369756342843, 33.049594378098845, 34.209583445452154, 35.47348411474377, 36.68152482295409, 38.24964904272929, 38.89743191655725, 39.65758080687374, 40.51344962185249, 41.545523080509156, 42.48966344026849, 43.66568651003763, 44.89754997147247, 46.21746554924175, 46.617987429723144, 47.04955812776461, 48.945703307166696, 50.39345557615161, 51.50538241537288, 52.76958977151662, 53.753342114854604, 54.64951969543472, 55.22539256559685, 55.649349028710276, 56.07343926653266, 56.769636287819594]",553.4147006855346,None,,,012,001,2021_Feb_19_1445,Heartbeat,2020.2.10,59.87200425044004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.4147006855346,None,,,,,,,
