Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID 019,,,,,,,,,,019,001,2021_Feb_18_1635,untitled,2020.2.10,59.98618298885489,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2021_Feb_18_1635,untitled,2020.2.10,59.98618298885489,
1,images/4,b,a,images/3,cognitive,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2021_Feb_18_1635,untitled,2020.2.10,59.98618298885489,
1,images/4,b,a,images/3,cognitive,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,75.3680849536322,None,0.38796296296296295,0.0824074074074074,1,0,0,2.1635518935509026,b,019,001,2021_Feb_18_1635,untitled,2020.2.10,59.98618298885489,
2,images/5,a,b,images/28,physical,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,77.55153715470806,None,-0.32314814814814813,0.1425925925925926,1,0,0,1.0603723614476621,a,019,001,2021_Feb_18_1635,untitled,2020.2.10,59.98618298885489,
3,images/6,a,c,images/61,affect,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,78.63492224412039,None,-0.25925925925925924,0.10648148148148148,1,0,0,0.9931531236506999,a,019,001,2021_Feb_18_1635,untitled,2020.2.10,59.98618298885489,
4,images/7,d,None,None,affect,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,79.65153689822182,None,-0.27314814814814814,-0.3787037037037037,1,0,0,1.1932873474434018,d,019,001,2021_Feb_18_1635,untitled,2020.2.10,59.98618298885489,
5,images/8,b,None,None,cognitive,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,80.85100481612608,None,0.36666666666666664,0.18981481481481483,1,0,0,0.9284505778923631,b,019,001,2021_Feb_18_1635,untitled,2020.2.10,59.98618298885489,
6,images/9,b,None,None,physical,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,81.80134435277432,None,0.5351851851851852,0.08055555555555556,1,0,0,2.027182511985302,b,019,001,2021_Feb_18_1635,untitled,2020.2.10,59.98618298885489,
7,images/10,c,None,None,physical,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,83.85109175322577,None,0.36574074074074076,-0.44166666666666665,1,0,0,1.5253561865538359,c,019,001,2021_Feb_18_1635,untitled,2020.2.10,59.98618298885489,
8,images/11,c,None,None,cognitive,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,85.40106692304835,None,0.35,-0.42685185185185187,1,0,0,1.661295372992754,c,019,001,2021_Feb_18_1635,untitled,2020.2.10,59.98618298885489,
9,images/12,d,None,None,affect,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,87.08418228244409,None,-0.29444444444444445,-0.38981481481481484,1,0,0,1.729912986047566,d,019,001,2021_Feb_18_1635,untitled,2020.2.10,59.98618298885489,
