Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID 016,,,,,,,,,,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
1,images/4,b,a,images/3,cognitive,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
1,images/4,b,a,images/3,cognitive,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,71.60072700167075,None,0.4083333333333333,0.08611111111111111,1,0,0,2.5602167723700404,b,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
2,images/5,a,b,images/28,physical,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,74.18427120847628,None,-0.36666666666666664,0.09444444444444444,1,0,0,1.5258816601708531,a,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
3,images/6,a,c,images/61,affect,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,75.71703086281195,None,-0.36018518518518516,0.09166666666666666,1,0,0,1.2264778381213546,a,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
4,images/7,d,None,None,affect,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,76.95017881505191,None,-0.3768518518518518,-0.3731481481481482,1,0,0,1.4579868139699101,d,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
5,images/8,b,None,None,cognitive,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,78.43340793065727,None,0.3648148148148148,0.2101851851851852,1,0,0,1.1615443145856261,b,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
6,images/9,b,None,None,physical,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,79.61682099383324,None,-0.40555555555555556,-0.34074074074074073,1,0,0,1.0938628017902374,d,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
7,images/10,c,None,None,physical,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,80.73352810321376,None,0.42685185185185187,-0.4425925925925926,1,0,0,1.1393929403275251,c,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
8,images/11,c,None,None,cognitive,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,81.88313794368878,None,0.387037037037037,-0.38981481481481484,1,0,0,0.9608095497824252,c,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
9,images/12,d,None,None,affect,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,82.86648190626875,None,-0.2722222222222222,-0.3592592592592593,1,0,0,1.2280590711161494,d,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
10,images/13,d,None,None,cognitive,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,84.1162409838289,None,-0.2972222222222222,-0.39537037037037037,1,0,0,1.1939510866068304,d,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
11,images/14,c,None,None,physical,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,85.33288656314835,None,0.44351851851851853,-0.39444444444444443,1,0,0,1.192074716091156,c,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
12,images/15,a,None,None,affect,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,86.54937013750896,None,-0.33240740740740743,0.17222222222222222,1,0,0,1.7701200572773814,a,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
13,images/16,b,None,None,affect,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,88.33265943545848,None,0.39351851851851855,0.16944444444444445,1,0,0,1.1944223446771502,b,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
14,images/17,b,None,None,cognitive,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,89.54914846364409,None,0.3675925925925926,0.13148148148148148,1,0,0,1.772035886067897,b,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
15,images/18,d,None,None,physical,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,91.33222442818806,None,-0.46944444444444444,-0.3888888888888889,1,0,0,2.0584481908008456,d,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
16,images/19,b,None,None,physical,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,93.4155171266757,None,0.43333333333333335,0.15,1,0,0,1.2719415705651045,b,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
17,images/20,c,None,None,affect,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,94.68149787560105,None,0.4287037037037037,-0.45,1,0,0,1.4268674203194678,c,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
18,images/21,b,None,None,physical,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,96.13184511195868,None,0.44351851851851853,0.13148148148148148,1,0,0,1.061243338510394,b,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
19,images/22,a,None,None,physical,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,97.21486833645031,None,-0.33611111111111114,0.07314814814814814,1,0,0,0.9608980915509164,a,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
20,images/23,d,None,None,affect,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,98.19804804865271,None,-0.3861111111111111,-0.3787037037037037,1,0,0,1.1936014126986265,d,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
21,images/24,d,None,None,cognitive,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,99.41483606398106,None,-0.3509259259259259,-0.38055555555555554,1,0,0,1.3732229177840054,d,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
22,images/25,a,None,None,cognitive,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,100.79785819817334,None,-0.32407407407407407,0.09814814814814815,1,0,0,0.9957028576172888,a,016,001,2021_Feb_18_1118,untitled,2020.2.10,60.18841288807777,
