Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID 028,,,,,,,,,,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
1,images/4,b,a,images/3,cognitive,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
1,images/4,b,a,images/3,cognitive,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,51.35499847959727,None,0.39166666666666666,0.11851851851851852,1,0,0,2.3949877261184156,b,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
2,images/5,a,b,images/28,physical,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,53.771539605688304,None,-0.35185185185185186,-0.387037037037037,1,0,0,2.2259417781606317,d,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
3,images/6,a,c,images/61,affect,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,56.004317032173276,None,-0.3675925925925926,0.16203703703703703,1,0,0,1.2235800344496965,a,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
4,images/7,d,None,None,affect,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,57.23747396701947,None,-0.4009259259259259,-0.34814814814814815,1,0,0,1.0246350234374404,d,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
5,images/8,b,None,None,cognitive,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,58.27060863841325,None,0.31574074074074077,0.18796296296296297,1,0,0,0.6917211920954287,b,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
6,images/9,b,None,None,physical,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,58.98730875412002,None,-0.3509259259259259,-0.375,1,0,0,0.9012026223354042,d,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
7,images/10,c,None,None,physical,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,59.90387682756409,None,0.43148148148148147,0.12222222222222222,1,0,0,1.1963561391457915,b,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
8,images/11,c,None,None,cognitive,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,61.103679983410984,None,0.36944444444444446,-0.362962962962963,1,0,0,1.4248588792979717,c,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
9,images/12,d,None,None,affect,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,62.536954139359295,None,-0.28055555555555556,-0.34074074074074073,1,0,0,1.2582224747166038,d,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
10,images/13,d,None,None,cognitive,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,63.803448813501745,None,-0.35462962962962963,-0.41759259259259257,1,0,0,1.0918587520718575,d,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
11,images/14,c,None,None,physical,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,64.90341904293746,None,0.40370370370370373,-0.3388888888888889,1,0,0,0.9240421173162758,c,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
12,images/15,a,None,None,affect,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,65.86993116885424,None,-0.3685185185185185,0.23055555555555557,1,0,0,1.0043407711200416,a,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
13,images/16,b,None,None,affect,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,66.8865246498026,None,0.3814814814814815,0.1527777777777778,1,0,0,1.1962769008241594,b,028,001,2021_Feb_23_1250,untitled,2020.2.10,59.98987726315665,
