Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID 017,,,,,,,,,,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
1,images/4,b,a,images/3,cognitive,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
1,images/4,b,a,images/3,cognitive,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,54.49218590604141,None,0.362962962962963,0.12685185185185185,1,0,0,5.094359403476119,b,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
2,images/5,a,b,images/28,physical,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,59.60841630352661,None,-0.36203703703703705,0.1398148148148148,1,0,0,1.1599685358814895,a,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
3,images/6,a,c,images/61,affect,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,60.79166383296251,None,-0.3416666666666667,0.12314814814814815,1,0,0,1.7600978827103972,a,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
4,images/7,d,None,None,affect,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,62.55824897298589,None,-0.31296296296296294,-0.37777777777777777,1,0,0,2.026864276267588,d,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
5,images/8,b,None,None,cognitive,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,64.60782281961292,None,0.5064814814814815,0.1925925925925926,1,0,0,1.7262446153908968,b,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
6,images/9,b,None,None,physical,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,66.34072600025684,None,0.4462962962962963,0.10648148148148148,1,0,0,2.457724397536367,b,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
7,images/10,c,None,None,physical,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,68.80710435193032,None,0.4027777777777778,-0.3537037037037037,1,0,0,1.2244599941186607,c,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
8,images/11,c,None,None,cognitive,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,70.04035271517932,None,0.37592592592592594,-0.40185185185185185,1,0,0,1.5909213689155877,c,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
9,images/12,d,None,None,affect,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,71.64010191243142,None,-0.2351851851851852,-0.34629629629629627,1,0,0,1.2243480342440307,d,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
10,images/13,d,None,None,cognitive,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,72.87334642652422,None,-0.337037037037037,-0.4046296296296296,1,0,0,1.3577795112505555,d,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
11,images/14,c,None,None,physical,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,74.23984212707728,None,0.3731481481481482,-0.3333333333333333,1,0,0,1.1935388562269509,c,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
12,images/15,a,None,None,affect,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,75.45695479400456,None,-0.31296296296296294,0.15833333333333333,1,0,0,1.86130287963897,a,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
13,images/16,b,None,None,affect,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,77.33993939403445,None,0.4,0.1814814814814815,1,0,0,1.7595647098496556,b,017,001,2021_Feb_19_1130,untitled,2020.2.10,60.008239424543795,
