item,style,condition,question,respond,video,bitalino,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Trialsloop.thisRepN,Trialsloop.thisTrialN,Trialsloop.thisN,Trialsloop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,IDRESPONSE.text,sensor2.started,sensor2.stopped,sensor3.started,sensor3.stopped,sensor.started,sensor.stopped,sensor4.started,sensor4.stopped,textsubjresp.started,textsubjresp.stopped,SubjectiveResponse.response,SubjectiveResponse.rt,SubjectiveResponse.started,SubjectiveResponse.stopped,textsubjcon.started,textsubjcon.stopped,sensor5.started,sensor5.stopped,sensor1.started,sensor1.stopped,sensor6.started,sensor6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,directx,TRUTH ,What is your favourite song?,"My favourite song is "Perfect" by Ed Sheeran",,,0,0,0,0,,,,,,,,,,,,,ID 019,,,,,,,,,,,,,,,,,,,,,,,019,001,2021_Feb_18_1549,deception_task,2020.2.10,60.03031191833836,
2,indirectx,LIE,What is your favourite tv-show/tv-drama?,"My favourite drama is F.R.I.E.N.D.S",,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2021_Feb_18_1549,deception_task,2020.2.10,60.03031191833836,
3,directx,TRUTH ,Is George Washington your role model in life?,""No, my role model is Lee Kuan Yew"",,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2021_Feb_18_1549,deception_task,2020.2.10,60.03031191833836,
4,indirectx,LIE,Is MacDonalds your favourite restaurant?,""Yes, MacDonalds is my favourite restaurant"",,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2021_Feb_18_1549,deception_task,2020.2.10,60.03031191833836,
5,directx,TRUTH ,Who is your favourite celebrity?,"My favourite celebrity is Chris Hemsworth",,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2021_Feb_18_1549,deception_task,2020.2.10,60.03031191833836,
1,directx,TRUTH ,What is your favourite song?,"My favourite song is "Perfect" by Ed Sheeran",,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2021_Feb_18_1549,deception_task,2020.2.10,60.03031191833836,
2,indirectx,LIE,What is your favourite tv-show/tv-drama?,"My favourite drama is F.R.I.E.N.D.S",,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2021_Feb_18_1549,deception_task,2020.2.10,60.03031191833836,
3,directx,TRUTH ,Is George Washington your role model in life?,""No, my role model is Lee Kuan Yew"",,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2021_Feb_18_1549,deception_task,2020.2.10,60.03031191833836,
4,indirectx,LIE,Is MacDonalds your favourite restaurant?,""Yes, MacDonalds is my favourite restaurant"",,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2021_Feb_18_1549,deception_task,2020.2.10,60.03031191833836,
5,directx,TRUTH ,Who is your favourite celebrity?,"My favourite celebrity is Chris Hemsworth",,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2021_Feb_18_1549,deception_task,2020.2.10,60.03031191833836,
27,Direct,TRUTH,How frequently do you drink alcohol?,,video/V21.mp4,,,,,,,,,,0,0,0,0,,,,,,388.66172556811944,389.1782401315868,393.9611945124343,394.47795705590397,397.87725443579257,398.4105129367672,401.71019040234387,402.2101650587283,403.293517105747,None,None,None,403.293517105747,None,403.293517105747,None,,,,,,,019,001,2021_Feb_18_1549,deception_task,2020.2.10,60.03031191833836,
13,Direct,LIE,What is your dream job growing up?,,video/V10.mp4,,,,,,,,,,0,1,1,1,,,,,,414.2257521841675,414.74206368019804,418.0088432263583,418.5086709558964,421.0413690158166,421.57502723578364,424.0413061385043,424.54126860480756,426.3411937295459,None,None,None,426.3411937295459,None,426.3411937295459,None,,,,,,,019,001,2021_Feb_18_1549,deception_task,2020.2.10,60.03031191833836,
