"","HCT_timeframe","HCT_hbcount","HCT_confidence","HCT_confidenceRT","ID"
"1",20,23,"0.39537037037037","5.83035126526374",1
"2",40,54,"0.337962962962963","3.01319811318535",1
"3",30,43,"0.350925925925926","2.28219215525314",1
"4",35,53,"0.214814814814815","2.86363318481017",1
"5",25,34,"0.50462962962963","4.46479936409742",1
"6",20,18,"0.211111111111111","2.39755029208027",2
"7",25,22,"0.0861111111111111","1.98081123107113",2
"8",35,32,"0.149074074074074","3.2810353434179",2
"9",40,41,"0.367592592592593","2.53291684691794",2
"10",30,30,"0.0398148148148148","1.71410996071063",2
"11",20,21,"0","0",3
"12",35,36,"0","0",3
"13",30,28,"0","0",3
"14",25,24,"0","0",3
"15",40,30,"0","0",3
"16",40,98,"0.744444444444444","3.19916251441464",4
"17",20,44,"0.872222222222222","5.59980982868001",4
"18",30,58,"0.716666666666667","2.06319862650707",4
"19",25,47,"0.716666666666667","1.54922962631099",4
"20",35,70,"0.716666666666667","1.78154028579593",4
"21",20,15,"0.362037037037037","4.99613979016431",5
"22",30,NA,"0.511111111111111","3.86636160523631",5
"23",35,21,"0.723148148148148","2.73264750163071",5
"24",25,22,"0.660185185185185","2.08086968143471",5
"25",40,30,"0.660185185185185","1.64770684344694",5
"26",20,10,"0.90462963","8.180743029",6
"27",35,16,"0.90462963","38.5602264",6
"28",30,14,"0.865740741","3.329713511",6
"29",40,16,"0.865740741","1.99714775",6
"30",25,10,"0.9","3.013925692",6
"31",25,23,"0.656481481481481","3.21613005083054",7
"32",30,33,"0.90462962962963","2.04934511473402",7
"33",40,38,"0.456481481481481","2.35010272078216",7
"34",35,40,"0.456481481481481","1.66474078549072",7
"35",20,20,"0.402777777777778","1.85163005860522",7
"36",25,28,"0.283333333333333","3.36566642764956",8
"37",40,49,"0.218518518518519","3.1472044675611",8
"38",35,38,"0.218518518518519","2.16400326183066",8
"39",30,37,"0.293518518518519","3.18385095801204",8
"40",20,27,"0.201851851851852","1.69737243931741",8
"41",40,38,"0.723148148","3.582208388",9
"42",35,33,"0.486111111","2.548248935",9
"43",30,30,"0.418518519","4.066794816",9
"44",25,29,"0.557407407","1.864124012",9
"45",20,25,"0.583333333","1.596882511",9
"46",30,31,"0.57962963","2.280141268",10
"47",25,22,"0.665740741","2.914455913",10
"48",35,35,"0.665740741","1.964966822",10
"49",40,46,"0.714814815","2.314407408",10
"50",20,20,"0.714814815","1.846757719",10
"51",35,36,"0.312962963","3.113399961",11
"52",25,24,"0.47962963","14.34626593",11
"53",30,26,"0.448148148","4.282880917",11
"54",40,31,"0.687037037","3.047403301",11
"55",20,17,"0.72962963","2.280970221",11
"56",30,28,"0.666666666666667","3.58355126483366",12
"57",25,26,"0.862037037037037","2.44665191834792",12
"58",20,23,"0.933333333333333","2.51410469925031",12
"59",35,40,"0.931481481481481","1.28105779970065",12
"60",40,50,"0.931481481481481","1.41468689125031",12
"61",35,26,"0.256481481","17.26255458",13
"62",30,3,"0.000925926","2.265283967",13
"63",40,19,"0.135185185","1.86462318",13
"64",25,11,"0.067592593","2.630621573",13
