"","HCT_timeframe","HCT_hbcount","HCT_confidence","HCT_confidenceRT","ID"
"118",35,25,"0.131481481481481","1.69976273458451",24
"119",25,19,"0.0592592592592592","2.43110425164923",24
"120",20,16,"0.0592592592592592","1.58145835297182",24
"121",35,31,"0.668518518518519","4.93257673271",25
"122",30,21,"0.556481481481481","2.58077761111781",25
"123",20,13,"0.763888888888889","2.43033368512988",25
"124",40,25,"0.725","2.58182182163",25
"125",25,14,"0.655555555555556","2.21609091246501",25
"126",25,32,"0.917592592592593","4.03152713272721",26
"127",20,NA,"0.336111111111111","17.0454983785748",26
"128",30,42,"0.925","2.93167816661298",26
"129",40,40,"0.812962962962963","3.29783542081714",26
"130",35,32,"0.748148148148148","2.89712651260197",26
"131",20,11,"0.155555556","4.463382702",27
"132",25,13,"0.236111111","2.065067939",27
"133",40,19,"0.236111111","1.733726038",27
"134",30,10,"0.125925926","2.16559829",27
"135",35,17,"0.125925926","1.347912285",27
"136",35,43,"0.562037037","2.798006729",28
"137",20,35,"0.561111111","1.431998326",28
"138",40,45,"0.737962963","2.312922737",28
"139",30,32,"0.637962963","2.747849985",28
"140",25,27,"0.356481481","2.129855819",28
"141",25,25,"0.782407407407407","3.49947965890169",29
"142",35,34,"0.707407407407407","6.13012240501121",29
"143",20,22,"0.949074074074074","1.88110630493611",29
"144",30,34,"0.949074074074074","1.81585358316079",29
"145",40,46,"0.949074074074074","0.965401830151677",29
"146",25,26,"0.973148148148148","2.64729653811082",30
"147",30,38,"0.973148148148148","1.39805074315518",30
"148",35,42,"0.366666666666667","2.56565340282395",30
"149",20,20,"0.905555555555556","1.61514255777001",30
"150",40,65,"0.905555555555556","1.63141106674448",30
