Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID 025,,,,,,,,,,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
1,images/4,b,a,images/3,cognitive,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
1,images/4,b,a,images/3,cognitive,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,60.01233868487179,None,0.42314814814814816,0.13148148148148148,1,0,0,4.058321474120021,b,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
2,images/5,a,b,images/28,physical,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,64.07830839883536,None,-0.3592592592592593,0.13148148148148148,1,0,0,1.2898776079528034,a,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
3,images/6,a,c,images/61,affect,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,65.37820048071444,None,-0.3398148148148148,0.11388888888888889,1,0,0,0.9236988592892885,a,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
4,images/7,d,None,None,affect,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,66.31152147380635,None,-0.41203703703703703,-0.39814814814814814,1,0,0,1.3570333258248866,d,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
5,images/8,b,None,None,cognitive,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,67.67790681868792,None,0.4388888888888889,0.2101851851851852,1,0,0,1.1903795986436307,b,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
6,images/9,b,None,None,physical,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,68.87779530789703,None,0.4046296296296296,0.062037037037037036,1,0,0,1.4577754051424563,b,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
7,images/10,c,None,None,physical,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,70.34432251146063,None,0.3731481481481482,-0.34444444444444444,1,0,0,1.2576373321935534,c,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
8,images/11,c,None,None,cognitive,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,71.61134715005755,None,0.38055555555555554,-0.3574074074074074,1,0,0,1.2595852417871356,c,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
9,images/12,d,None,None,affect,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,72.89455111464486,None,-0.21481481481481482,-0.3824074074074074,1,0,0,1.3274727095849812,d,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
10,images/13,d,None,None,cognitive,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,74.24438372021541,None,-0.3787037037037037,-0.3888888888888889,1,0,0,1.1609020694158971,d,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
11,images/14,c,None,None,physical,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,75.42765595158562,None,0.37962962962962965,-0.35,1,0,0,1.0941688469611108,c,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
12,images/15,a,None,None,affect,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,76.5439700782299,None,-0.42592592592592593,0.225,1,0,0,1.193770474754274,a,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
13,images/16,b,None,None,affect,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,77.76073724171147,None,0.48703703703703705,0.24351851851851852,1,0,0,1.1936293221078813,b,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
14,images/17,b,None,None,cognitive,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,78.97725963313133,None,0.35648148148148145,0.17314814814814813,1,0,0,1.8069112286902964,b,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
15,images/18,d,None,None,physical,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,80.79347155196592,None,-0.49907407407407406,-0.40370370370370373,1,0,0,1.4953281613998115,d,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
16,images/19,b,None,None,physical,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,82.32697931630537,None,0.4064814814814815,0.17685185185185184,1,0,0,1.4754872019402683,b,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
17,images/20,c,None,None,affect,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,83.81007946934551,None,0.4324074074074074,-0.42407407407407405,1,0,0,1.4716029316186905,c,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
18,images/21,b,None,None,physical,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,85.31008428148925,None,0.4759259259259259,0.1259259259259259,1,0,0,1.7332602334208786,b,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
19,images/22,a,None,None,physical,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,87.059966546949,None,-0.4101851851851852,0.05462962962962963,1,0,0,1.1602299893274903,a,025,001,2021_Feb_24_1411,untitled,2020.2.10,59.99703602606803,
