task,time,text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,idresponse.text,heartbeatresponse.text,confidenceslider.response,confidenceslider.rt,text_2.started,text_2.stopped,key_guess.keys,key_guess.rt,key_guess.started,key_guess.stopped,text_3.started,text_3.stopped,key_noguess.keys,key_noguess.rt,key_noguess.started,key_noguess.stopped,text_4.started,text_4.stopped,key_noguess_perturbed.keys,key_noguess_perturbed.rt,key_noguess_perturbed.started,key_noguess_perturbed.stopped,text_perturbed.started,text_perturbed.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Count25,25,+,0,0,0,1,ID 008,Enter Number  28,0.2833333333333333,3.3656664276495576,,,,,,,,,,,,,,,,,,,,,008,001,2021_Feb_17_1637,Heartbeat,2020.2.10,60.01239827862955,
Count40,40,+,0,1,1,4,,Enter Number49,0.2185185185185185,3.147204467561096,,,,,,,,,,,,,,,,,,,,,008,001,2021_Feb_17_1637,Heartbeat,2020.2.10,60.01239827862955,
Count35,35,+,0,2,2,3,,Enter Number   38,0.2185185185185185,2.1640032618306577,,,,,,,,,,,,,,,,,,,,,008,001,2021_Feb_17_1637,Heartbeat,2020.2.10,60.01239827862955,
Count30,30,+,0,3,3,2,,Enter Number   37,0.2935185185185185,3.1838509580120444,,,,,,,,,,,,,,,,,,,,,008,001,2021_Feb_17_1637,Heartbeat,2020.2.10,60.01239827862955,
Count20,20,+,0,4,4,0,,Enter Number   27,0.20185185185185184,1.6973724393174052,,,,,,,,,,,,,,,,,,,,,008,001,2021_Feb_17_1637,Heartbeat,2020.2.10,60.01239827862955,
,,,,,,,,,,,353.90308348461986,None,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.7798403562046587, 8.795570880174637, 14.819706094451249, 16.963579033501446, 22.771630072034895, 26.203519004862756, 30.90787883196026, 32.62767949840054, 36.2597944047302, 37.5955268018879, 40.21962165925652, 43.23595529049635, 46.171752233058214, 48.14778447756544, 50.29958379175514, 53.24364651739597, 55.96356106875464]",407.79807826830074,None,,,,,,,,,,,,,,,008,001,2021_Feb_17_1637,Heartbeat,2020.2.10,60.01239827862955,
,,,,,,,,,,,468.7747890087776,None,,,,,407.79807826830074,None,"['space', 'space', 'space', 'space']","[6.964643454179168, 20.892477450426668, 34.75661236979067, 51.63645663950592]",509.8210454424843,None,,,,,,,,,008,001,2021_Feb_17_1637,Heartbeat,2020.2.10,60.01239827862955,
,,,,,,,,,,,570.7983628194779,None,,,,,,,,,,,509.8210454424843,None,"['space', 'space', 'space', 'space', 'space', 'space', 'space']","[16.400580587331206, 17.336730412207544, 24.424639771226794, 32.4250558516942, 40.8887885492295, 46.86497574066743, 51.20069498522207]",641.6409427346662,None,,,008,001,2021_Feb_17_1637,Heartbeat,2020.2.10,60.01239827862955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.6409427346662,None,,,,,,,
