item,style,condition,question,respond,video,bitalino,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Trialsloop.thisRepN,Trialsloop.thisTrialN,Trialsloop.thisN,Trialsloop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,IDRESPONSE.text,sensor2.started,sensor2.stopped,sensor3.started,sensor3.stopped,sensor.started,sensor.stopped,sensor4.started,sensor4.stopped,textsubjresp.started,textsubjresp.stopped,SubjectiveResponse.response,SubjectiveResponse.rt,SubjectiveResponse.started,SubjectiveResponse.stopped,textsubjcon.started,textsubjcon.stopped,sensor5.started,sensor5.stopped,sensor1.started,sensor1.stopped,sensor6.started,sensor6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,directx,TRUTH ,What is your favourite song?,"My favourite song is "Perfect" by Ed Sheeran",,,0,0,0,0,,,,,,,,,,,,,ID 011,,,,,,,,,,,,,,,,,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
2,indirectx,LIE,What is your favourite tv-show/tv-drama?,"My favourite drama is F.R.I.E.N.D.S",,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
3,directx,TRUTH ,Is George Washington your role model in life?,""No, my role model is Lee Kuan Yew"",,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
4,indirectx,LIE,Is MacDonalds your favourite restaurant?,""Yes, MacDonalds is my favourite restaurant"",,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
5,directx,TRUTH ,Who is your favourite celebrity?,"My favourite celebrity is Chris Hemsworth",,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
1,directx,TRUTH ,What is your favourite song?,"My favourite song is "Perfect" by Ed Sheeran",,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
2,indirectx,LIE,What is your favourite tv-show/tv-drama?,"My favourite drama is F.R.I.E.N.D.S",,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
3,directx,TRUTH ,Is George Washington your role model in life?,""No, my role model is Lee Kuan Yew"",,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
4,indirectx,LIE,Is MacDonalds your favourite restaurant?,""Yes, MacDonalds is my favourite restaurant"",,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
5,directx,TRUTH ,Who is your favourite celebrity?,"My favourite celebrity is Chris Hemsworth",,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
1,Direct,LIE,Which primary school are you from?,,video/V9.mp4,,,,,,,,,,0,0,0,0,,,,,,346.5508538465947,347.0840748138726,355.98333850922063,356.48306326102465,360.3991677756421,360.93271756498143,366.0322309723124,366.5318081555888,367.7319459076971,None,0.003703703703703709,14.93206216627732,367.7319459076971,None,367.7319459076971,None,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
16,Indirect,TRUTH,Do you have 2 siblings?,,video/V15.mp4,,,,,,,,,,0,1,1,1,,,,,,387.6130438717082,388.1130945584737,396.0125183337368,396.512195286341,399.3954714955762,399.9287601518445,403.12843242054805,403.628266886808,405.1449344730936,None,1,4.182711790315807,405.1449344730936,None,405.1449344730936,None,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
28,Direct,TRUTH,What religion do you practice?,,video/V24.mp4,,,,,,,,,,0,2,2,2,,,,,,411.31061135884374,411.82756157172844,418.7435849234462,419.2435130639933,422.15974622033536,422.69325077626854,425.3928922479972,425.89284990215674,427.70925815217197,None,0.012962962962962954,4.967395935207605,427.70925815217197,None,427.70925815217197,None,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
28,Indirect,LIE,Is your religion Catholicism?,,video/V18.mp4,,,,,,,,,,0,3,3,3,,,,,,433.8920819023624,434.42531473888084,442.00783943757415,442.5078230765648,445.3905994761735,445.92417075904086,448.5904327877797,449.09037632634863,450.32355090556666,None,0.9648148148148148,3.2676569395698607,450.32355090556666,None,450.32355090556666,None,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
21,Indirect,LIE,Are you from School of Humanities in NTU?,,video/V8.mp4,,,,,,,,,,0,4,4,4,,,,,,455.0566042214632,455.5730960085057,463.47235553339124,463.9722426109947,466.70524524059147,467.23876166623086,470.27187612699345,470.77145074354485,472.6048351912759,None,0.0222222222222222,2.5332200047560036,472.6048351912759,None,472.6048351912759,None,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
7,Direct,LIE,What is your favourite sport?,,video/V11.mp4,,,,,,,,,,0,5,5,5,,,,,,476.2373575158417,476.75440493179485,481.1539733889513,481.6539162863046,484.4036362259649,484.9369553583674,487.53651014948264,488.0367979090661,489.9197170655243,None,0.9555555555555555,2.3341732998378575,489.9197170655243,None,489.9197170655243,None,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
1,Indirect,TRUTH,Are you from First Toa Payoh Primary School?,,video/V4.mp4,,,,,,,,,,0,6,6,6,,,,,,493.30239626253024,493.8193153575994,498.5352064105682,499.0355554432608,501.98519178200513,502.51864051865414,506.0848444174044,506.58477159542963,507.70123104564846,None,0.1425925925925926,5.6838686019182205,507.70123104564846,None,507.70123104564846,None,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
22,Direct,TRUTH,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",,video/V31.mp4,,,,,,,,,,0,7,7,7,,,,,,514.8004554104991,515.3340709642507,519.9999910178594,520.5000593485311,523.0164622729644,523.5497079421766,526.2495528021827,526.7492961604148,528.4487717775628,None,0.4712962962962963,3.0021913978271186,528.4487717775628,None,528.4487717775628,None,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
26,Direct,TRUTH,How often do you smoke?,,video/V1.mp4,,,,,,,,,,0,8,8,8,,,,,,533.1987714567222,533.7155824415386,537.1315733925439,537.6315615228377,540.5311835538596,541.0646666162647,543.5645466363057,544.0644260146655,546.0306628923863,None,0.5824074074074074,4.566535608377308,546.0306628923863,None,546.0306628923863,None,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
2,Indirect,TRUTH,Are you from Serangoon Secondary School?,,video/V40.mp4,,,,,,,,,,0,9,9,9,,,,,,551.7300846148282,552.2634977423586,555.5132792759687,556.0131685994565,559.2125168582425,559.7463037199341,563.0458098775707,563.5458178976551,565.0620896141045,None,0.7101851851851853,5.567016811110079,565.0620896141045,None,565.0620896141045,None,,,,,,,011,001,2021_Feb_16_1415,deception_task,2020.2.10,59.9546856941218,
