Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID 008,,,,,,,,,,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
1,images/4,b,a,images/3,cognitive,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
1,images/4,b,a,images/3,cognitive,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,66.91232899669558,None,0.38981481481481484,0.15648148148148147,1,0,0,2.9275147984735668,b,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
2,images/5,a,b,images/28,physical,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,69.8620493854396,None,-0.362962962962963,0.14074074074074075,1,0,0,2.2924440233036876,a,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
3,images/6,a,c,images/61,affect,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,72.17849805671722,None,-0.36018518518518516,0.1398148148148148,1,0,0,3.4274564129300416,a,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
4,images/7,d,None,None,affect,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,75.62806863104925,None,-0.3472222222222222,-0.3592592592592593,1,0,0,2.3281990052200854,d,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
5,images/8,b,None,None,cognitive,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,77.97775623435155,None,0.34629629629629627,0.2175925925925926,1,0,0,1.660115463193506,b,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
6,images/9,b,None,None,physical,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,79.66087544290349,None,0.43796296296296294,0.16296296296296298,1,0,0,1.5269002062268555,b,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
7,images/10,c,None,None,physical,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,81.21098567033187,None,0.40370370370370373,-0.4046296296296296,1,0,0,4.638334935065359,c,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
8,images/11,c,None,None,cognitive,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,85.8434627619572,None,0.40370370370370373,-0.3888888888888889,1,0,0,1.6604587212204933,c,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
9,images/12,d,None,None,affect,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,87.52691271761432,None,-0.1638888888888889,-0.35648148148148145,1,0,0,1.959253981243819,d,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
10,images/13,d,None,None,cognitive,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,89.50994293577969,None,-0.2657407407407407,-0.37962962962962965,1,0,0,1.7934401133097708,d,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
11,images/14,c,None,None,physical,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,91.3098982158117,None,0.387037037037037,-0.31296296296296294,1,0,0,1.5582541055046022,c,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
12,images/15,a,None,None,affect,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,92.89298463892192,None,-0.3675925925925926,0.28888888888888886,1,0,0,2.127909192815423,a,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
13,images/16,b,None,None,affect,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,95.04277092032135,None,0.3638888888888889,0.17777777777777778,1,0,0,2.1021417384035885,b,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
14,images/17,b,None,None,cognitive,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,97.1422464735806,None,0.362962962962963,0.1648148148148148,1,0,0,3.1891929521225393,b,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
15,images/18,d,None,None,physical,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,100.34189500287175,None,-0.46111111111111114,-0.36018518518518516,1,0,0,1.7577287605963647,d,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
16,images/19,b,None,None,physical,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,102.10841245390475,None,0.41759259259259257,0.17962962962962964,1,0,0,2.557295228820294,b,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
17,images/20,c,None,None,affect,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,104.67483642324805,None,0.4166666666666667,-0.4527777777777778,1,0,0,2.290848675183952,c,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
18,images/21,b,None,None,physical,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,106.97455591382459,None,0.4824074074074074,0.12685185185185185,1,0,0,1.4252114403061569,b,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
19,images/22,a,None,None,physical,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,108.40766902733594,None,-0.37407407407407406,0.05648148148148148,1,0,0,1.0569352889433503,a,008,001,2021_Feb_17_1628,untitled,2020.2.10,59.9941490522527,
