task,time,text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,idresponse.text,heartbeatresponse.text,confidenceslider.response,confidenceslider.rt,text_2.started,text_2.stopped,key_guess.keys,key_guess.rt,key_guess.started,key_guess.stopped,text_3.started,text_3.stopped,key_noguess.keys,key_noguess.rt,key_noguess.started,key_noguess.stopped,text_4.started,text_4.stopped,key_noguess_perturbed.keys,key_noguess_perturbed.rt,key_noguess_perturbed.started,key_noguess_perturbed.stopped,text_perturbed.started,text_perturbed.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Count25,25,+,0,0,0,1,ID 026,Enter Number  32 ,0.9175925925925925,4.031527132727206,,,,,,,,,,,,,,,,,,,,,026,001,2021_Feb_22_1002,Heartbeat,2020.2.10,59.96910351505929,
Count20,20,+,0,1,1,0,,Enter Number,0.33611111111111114,17.045498378574848,,,,,,,,,,,,,,,,,,,,,026,001,2021_Feb_22_1002,Heartbeat,2020.2.10,59.96910351505929,
Count30,30,+,0,2,2,2,,"Enter Number   42
",0.925,2.9316781666129827,,,,,,,,,,,,,,,,,,,,,026,001,2021_Feb_22_1002,Heartbeat,2020.2.10,59.96910351505929,
Count40,40,+,0,3,3,4,,Enter Number   40,0.8129629629629629,3.2978354208171368,,,,,,,,,,,,,,,,,,,,,026,001,2021_Feb_22_1002,Heartbeat,2020.2.10,59.96910351505929,
Count35,35,+,0,4,4,3,,Enter Number   32,0.7481481481481481,2.8971265126019716,,,,,,,,,,,,,,,,,,,,,026,001,2021_Feb_22_1002,Heartbeat,2020.2.10,59.96910351505929,
,,,,,,,,,,,388.1902564102784,None,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.9069039146415889, 2.0588562511838973, 3.242816923186183, 4.362770227249712, 5.530771964695305, 6.914887071121484, 8.394940247293562, 10.354819792322814, 11.994910476729274, 13.14692216180265, 14.450759466271847, 16.0991002144292, 17.38676942139864, 18.827041872311383, 20.2269259984605, 21.45071230828762, 22.818910184316337, 24.242868893314153, 25.594904124736786, 27.042935491539538, 28.458892116788775, 29.770712257362902, 31.282770240213722, 32.770796307362616, 33.85890969680622, 35.09878037497401, 36.35496062459424, 37.59492690209299, 38.93084953492507, 40.23477153107524, 41.522768918424845, 42.80276518454775, 44.05893965950236, 45.45876540010795, 46.77074914937839, 48.13070754799992, 49.498975679278374, 50.89079099474475, 52.35475755715743, 53.74687218060717, 55.114815660752356, 56.17886890331283, 57.402714882511646, 58.99461052706465]",437.30186469340697,None,,,,,,,,,,,,,,,026,001,2021_Feb_22_1002,Heartbeat,2020.2.10,59.96910351505929,
,,,,,,,,,,,498.2790964161977,None,,,,,437.30186469340697,None,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.5743067148141563, 3.3341441066004336, 5.502156751230359, 6.6384440078400075, 8.062208952382207, 9.494131890591234, 10.758273161482066, 12.326158383395523, 13.878174816258252, 15.90223817108199, 17.117936422117054, 18.58210573112592, 20.270412628073245, 21.80617306334898, 23.190304851625115, 24.81448247563094, 26.47012531803921, 28.566192991565913, 30.365975039079785, 32.30209182109684, 34.462086020968854, 36.58216957049444, 38.606230358593166, 39.30213256273419, 41.43827609997243, 44.09417686704546, 46.26214331621304, 48.10212216898799, 50.18214846169576, 52.30208219680935, 54.52628522878513, 55.64631777070463, 56.97428226983175, 58.87025742419064]",554.290456334129,None,,,,,,,,,026,001,2021_Feb_22_1002,Heartbeat,2020.2.10,59.96910351505929,
,,,,,,,,,,,615.2668953556567,None,,,,,,,,,,,554.290456334129,None,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[2.912343753501773, 4.048637105152011, 5.3763122404925525, 6.512290564365685, 7.7604934317059815, 8.992313906084746, 10.216362631879747, 11.552309966646135, 12.624347328674048, 13.832297891378403, 15.152274421881884, 16.27215971564874, 17.712437940761447, 19.152295915409923, 20.63228910183534, 21.93633171962574, 23.54432456428185, 24.81629725266248, 26.136321903206408, 27.36844778060913, 28.744260211475194, 30.25646095117554, 31.800432954449207]",688.3602942777798,None,,,026,001,2021_Feb_22_1002,Heartbeat,2020.2.10,59.96910351505929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.3602942777798,None,,,,,,,
